t,x,y,p
0,795,516,0
98,337,268,1
109,196,298,1
137,813,450,0
230,800,478,1
243,78,269,0
247,810,455,1
304,990,489,0
481,195,312,0
485,798,485,0
489,797,491,0
520,338,266,1
547,339,267,1
663,82,276,0
711,70,271,1
735,203,304,1
766,799,503,1
790,121,284,0
910,800,507,0
910,795,510,0
924,305,248,1
929,203,305,0
1070,219,44,1
1072,773,56,0
1116,811,452,0
1142,804,475,0
1174,595,225,0
1184,799,506,0
1207,798,499,0
1218,306,250,0
1235,598,245,1
1351,773,57,0
1416,798,486,1
1438,66,258,0
1448,595,251,1
1477,598,248,1
1504,800,505,0
1507,802,470,0
1513,597,250,0
1527,599,250,0
1540,821,468,0
1586,794,510,0
1638,810,437,0
1667,593,249,0
1680,594,248,0
1689,595,248,1
1701,593,248,1
1713,810,451,0
1720,593,243,0
1727,120,280,0
1745,797,482,0
1753,792,514,1
1765,594,246,1
1768,1168,270,0
1792,593,245,0
1798,120,281,0
1813,796,494,1
1849,812,452,0
1872,218,47,1
1893,989,491,0
1893,1168,271,0
1912,599,246,1
1942,809,437,0
1948,202,309,1
2004,597,246,1
2067,1168,272,1
2094,811,450,1
2193,804,477,1
2203,81,259,0
2306,800,480,1
2337,799,493,0
2361,810,454,1
2383,599,244,0
2404,600,248,0
2435,799,498,0
2440,792,519,1
2443,989,492,1
2452,218,49,0
2456,798,500,0
2477,196,290,1
2531,808,488,1
2546,792,518,1
2564,772,60,0
2575,304,254,1
2600,800,477,1
2711,100,230,0
2726,101,229,1
2727,101,228,1
2733,100,231,0
2831,159,246,0
2848,289,261,1
2915,218,50,0
2958,796,480,1
2974,102,231,1
3018,195,305,1
3019,105,229,0
3026,103,234,0
3049,103,232,1
3073,105,228,0
3091,205,297,0
3197,812,451,1
3257,100,233,1
3262,796,515,0
3311,797,496,1
3317,802,472,0
3322,1167,276,1
3382,808,470,1
3393,97,231,0
3396,1167,277,0
3409,98,230,1
3428,811,456,0
3429,100,232,1
3454,202,311,1
3494,805,457,0
3591,341,258,1
3628,101,234,1
3664,1167,278,1
3667,811,451,0
3672,105,233,0
3675,102,230,1
3694,811,437,1
3725,104,228,1
3732,804,459,1
3740,813,539,0
3741,101,236,1
3754,103,228,1
3770,105,234,1
3785,785,533,0
3792,812,453,0
3798,804,463,1
3834,1139,442,0
3849,103,231,0
3873,128,270,1
3887,105,232,1
3893,102,229,1
3900,79,270,0
3931,806,457,1
3952,797,506,1
3995,988,494,0
4006,816,535,0
4040,102,235,0
4044,797,480,0
4080,102,228,1
4083,84,284,1
4084,795,514,1
4087,800,506,1
4107,597,226,1
4109,798,512,1
4112,809,455,0
4126,810,456,0
4161,809,454,0
4189,103,229,1
4216,807,471,1
4259,806,452,0
4260,809,453,1
4282,1139,443,0
4398,101,232,1
4412,313,248,0
4482,71,277,1
4483,800,497,1
4488,813,449,1
4532,799,477,1
4547,101,233,1
4547,794,513,1
4569,335,269,1
4655,782,534,1
4691,1166,282,1
4701,801,479,1
4719,304,253,0
4722,806,456,0
4772,987,495,1
4863,198,287,1
4943,799,496,0
4976,115,256,0
4988,597,248,0
4998,812,454,0
5000,81,260,1
5024,597,251,1
5033,796,508,1
5051,594,251,0
5053,813,452,1
5065,596,251,0
5078,164,258,0
5084,793,480,0
5095,595,251,0
5114,598,248,1
5119,597,250,0
5121,797,489,0
5168,798,481,1
5179,599,250,1
5245,595,248,1
5270,593,249,0
5297,801,475,0
5304,593,248,0
5367,307,249,0
5372,593,245,1
5395,594,246,0
5405,802,471,0
5411,290,259,1
5420,195,289,0
5455,1165,285,0
5477,306,247,0
5513,195,303,1
5561,807,472,0
5575,813,436,0
5580,799,492,1
5585,811,453,1
5590,799,494,1
5608,817,533,0
5611,799,509,1
5613,797,494,1
5641,341,260,1
5657,201,313,0
5668,805,465,0
5712,1165,286,1
5736,343,259,0
5756,338,270,1
5788,987,496,1
5847,758,527,0
5875,1165,287,0
5877,808,456,1
5878,815,537,1
5934,203,310,0
5962,599,244,0
6003,600,248,1
6015,599,246,1
6039,598,245,0
6072,341,256,1
6179,808,455,1
6195,800,471,0
6227,771,70,1
6272,809,456,1
6273,204,312,1
6278,341,259,0
6381,811,455,0
6403,216,62,0
6445,813,451,1
6610,797,509,0
6658,800,472,1
6674,216,63,1
6680,812,450,0
6682,197,287,1
6809,986,498,1
6814,811,449,1
6836,785,532,0
6901,771,72,0
6902,810,457,1
6920,216,64,0
6923,196,301,1
6980,786,532,0
7049,291,261,0
7123,197,298,0
7167,811,454,1
7167,800,503,1
7183,595,225,1
7189,798,462,0
7285,798,508,1
7361,216,65,0
7362,795,513,0
7375,801,470,0
7423,812,455,0
7480,816,534,1
7566,336,269,1
7567,793,518,0
7642,216,66,1
7691,814,538,0
7697,804,476,0
7774,79,272,0
7796,1137,451,0
7821,808,487,0
7880,206,294,1
7912,216,67,0
7921,810,455,1
7925,803,459,1
7927,595,241,0
7975,333,253,0
8019,789,522,1
8069,813,453,0
8108,290,260,0
8215,800,509,0
8229,216,68,1
8251,78,278,0
8287,796,498,0
8306,801,471,0
8311,335,268,0
8316,341,261,0
8339,806,458,1
8372,598,245,0
8490,121,282,1
8500,597,246,1
8541,198,288,0
8563,120,279,1
8649,816,435,0
8652,802,480,0
8661,100,230,0
8684,215,69,1
8698,595,251,0
8704,598,250,0
8710,806,469,1
8710,101,229,1
8733,781,528,1
8742,101,228,0
8746,100,231,0
8750,598,248,0
8764,120,276,0
8764,599,250,1
8860,593,249,1
8887,595,248,1
8897,594,248,1
8908,807,540,0
8912,795,512,1
8913,593,248,1
8946,215,70,0
8971,594,246,0
8986,103,234,0
8999,103,232,0
9049,793,515,1
9073,105,229,1
9090,289,259,1
9090,105,228,1
9103,1136,454,1
9108,599,246,1
9115,102,231,0
9120,800,491,1
9136,215,71,1
9145,798,511,0
9162,82,278,0
9163,808,489,1
9185,341,263,1
9191,804,469,1
9194,799,504,1
9225,596,246,0
9245,202,310,1
9253,812,453,0
9331,98,230,1
9338,100,233,1
9340,812,452,1
9344,100,232,1
9349,802,479,1
9362,1136,455,0
9381,810,453,1
9413,203,303,1
9426,97,231,0
9471,799,490,0
9471,100,229,1
9497,799,495,0
9565,599,244,1
9576,101,234,1
9578,102,230,0
9633,600,248,0
9638,105,233,1
9743,103,231,1
9751,205,294,1
9790,311,247,0
9791,103,229,1
9795,831,446,1
9818,105,232,0
9827,104,228,1
9842,105,234,1
9856,101,236,0
9887,1162,302,0
9906,797,497,1
9924,103,228,0
9995,102,235,0
10025,805,458,0
10052,102,228,0
10082,784,531,1
10180,796,514,1
10209,102,229,1
10225,205,296,1
10227,802,473,0
10228,811,452,0
10285,807,487,1
10346,101,232,0
10362,1161,304,1
10389,152,288,1
10487,101,233,1
10503,1161,305,1
10547,197,313,0
10676,592,228,1
10765,801,472,1
10814,595,241,0
10832,203,311,1
10895,1135,459,1
10919,196,296,0
10942,812,454,1
10988,809,458,1
11021,796,511,0
11305,799,499,1
11337,803,478,1
11343,798,495,0
11351,214,78,0
11444,197,289,0
11598,214,79,0
11645,305,252,0
11714,809,457,1
11746,797,484,1
11829,128,267,0
11841,214,80,1
11957,810,454,1
11966,798,479,1
12096,291,258,1
12140,214,81,0
12149,597,248,1
12216,335,270,0
12232,72,278,0
12248,597,250,0
12267,594,251,1
12273,596,251,0
12300,804,461,1
12302,119,276,0
12311,595,251,1
12325,597,251,1
12327,206,296,0
12346,803,463,1
12347,599,250,0
12375,290,262,1
12385,804,472,1
12387,598,248,0
12463,812,451,0
12467,595,248,1
12479,593,249,1
12514,593,248,0
12556,803,462,0
12561,813,450,0
12563,805,459,0
12569,312,247,0
12585,800,493,1
12589,594,246,1
12652,805,464,0
12663,800,488,0
12670,794,517,0
12685,799,478,1
12704,799,501,1
12756,800,504,1
12794,597,246,0
12799,214,83,0
12845,799,486,0
12985,799,491,0
13007,808,458,0
13008,820,435,0
13098,595,225,1
13162,784,530,0
13176,798,493,1
13184,599,244,1
13201,807,456,0
13210,598,245,1
13243,202,286,1
13246,600,248,0
13290,811,453,1
13294,802,481,0
13335,808,437,0
13335,115,261,0
13395,213,85,0
13416,811,456,1
13457,195,301,1
13504,810,452,0
13574,817,534,1
13588,800,481,1
13609,812,455,0
13619,213,86,0
13619,793,512,1
13646,797,513,0
13653,205,295,1
13671,120,275,1
13712,289,260,1
13713,122,270,1
13714,811,455,0
13741,794,514,0
13744,205,293,1
13753,312,248,0
13755,802,461,0
13760,796,510,1
13770,196,289,1
13821,340,265,0
13830,801,506,0
13849,797,483,1
13881,807,458,0
13890,1158,318,0
13891,337,270,1
13918,213,87,0
13935,791,519,0
13977,795,511,0
14042,812,456,0
14087,1158,319,1
14089,788,533,0
14101,790,520,0
14128,802,469,0
14132,807,452,1
14141,812,449,1
14150,800,490,0
14275,808,471,1
14301,805,460,1
14349,152,297,1
14361,812,437,0
14407,206,295,1
14409,814,451,1
14482,811,454,0
14495,801,505,1
14498,801,507,1
14590,196,306,1
14637,100,230,1
14704,101,229,1
14734,100,231,0
14765,803,472,0
14837,800,501,1
14849,213,90,0
14885,84,263,1
14895,802,478,1
14933,121,281,1
14943,103,234,1
14974,802,475,0
14986,105,228,0
15017,103,232,0
15088,801,493,0
15122,790,523,1
15167,801,503,1
15211,307,268,0
15261,120,274,0
15290,100,233,0
15309,98,230,1
15327,100,232,1
15327,801,478,1
15336,97,231,0
15385,101,228,1
15397,196,311,1
15428,807,457,0
15468,813,452,1
15524,152,299,1
15543,101,234,1
15572,102,231,0
15594,813,451,1
15595,596,246,1
15606,102,230,1
15648,598,245,1
15659,105,233,1
15670,104,228,1
15692,103,228,0
15701,796,512,0
15707,101,236,1
15716,103,231,1
15734,785,531,0
15757,151,299,0
15791,104,234,0
15827,105,234,0
15844,105,232,0
15846,197,300,0
15870,102,235,0
15892,102,229,0
15913,599,250,1
15931,597,250,0
15931,595,251,1
15947,598,248,1
15990,598,250,0
16029,814,450,0
16029,815,538,0
16046,290,261,1
16054,812,453,1
16054,102,228,0
16059,810,456,1
16064,593,249,0
16080,595,248,0
16092,786,530,0
16104,594,248,1
16112,593,248,1
16114,813,453,0
16127,597,226,1
16163,103,230,0
16168,103,229,0
16172,817,434,1
16194,594,246,1
16216,809,438,1
16262,152,300,1
16301,101,232,0
16345,195,291,1
16354,101,233,0
16409,212,95,0
16440,202,312,1
16440,785,530,1
16465,799,506,0
16466,801,474,0
16478,799,508,1
16523,803,460,1
16530,1156,328,1
16559,803,461,0
16663,797,511,0
16673,804,474,1
16682,212,96,1
16709,1156,329,0
16753,799,497,1
16761,79,273,1
16763,290,259,0
16775,808,436,0
16780,599,244,1
16782,800,508,1
16811,800,507,0
16829,152,301,0
16831,600,248,0
16884,798,482,1
16914,799,507,1
16995,212,97,0
16999,839,443,0
17015,203,308,0
17022,803,475,1
17131,1155,330,0
17171,152,302,0
17186,803,473,0
17187,194,300,1
17218,212,98,1
17273,805,455,1
17359,311,249,1
17493,805,474,1
17512,813,454,1
17549,212,99,1
17574,812,454,1
17579,799,500,0
17702,799,502,0
17750,203,309,0
17831,307,251,1
17914,810,436,0
17924,805,476,1
17945,205,298,0
17951,811,457,1
18057,810,438,0
18060,806,472,1
18124,800,495,0
18135,801,490,1
18146,152,305,1
18235,78,279,0
18251,800,492,1
18261,116,255,1
18380,152,304,1
18387,799,488,1
18410,288,261,1
18482,799,511,1
18506,128,264,1
18582,810,457,1
18614,73,275,1
18641,289,261,1
18701,784,529,0
18754,211,103,1
18765,798,507,0
18776,341,264,1
18826,805,477,1
18888,120,277,0
18916,129,269,0
18941,120,286,0
18983,810,458,0
19040,211,104,1
19079,152,306,1
19125,832,443,1
19165,804,464,1
19177,597,246,1
19207,800,502,1
19223,800,489,1
19236,305,269,1
19240,812,452,0
19246,798,496,1
19259,196,302,1
19263,800,510,1
19286,211,105,1
19336,120,278,1
19356,318,246,1
19364,597,251,0
19378,340,266,0
19415,597,248,0
19461,801,473,0
19463,801,504,0
19470,595,225,1
19478,594,251,1
19484,596,251,1
19484,802,474,0
19498,121,286,0
19499,806,465,1
19505,798,498,1
19514,790,521,1
19519,599,250,1
19519,597,250,0
19531,595,251,1
19535,598,248,0
19553,814,449,0
19578,211,106,0
19628,800,494,1
19673,593,249,1
19676,595,248,1
19692,812,455,0
19718,593,248,1
19775,291,259,1
19793,594,246,0
19800,593,245,1
19817,594,245,1
19818,593,243,1
19819,810,437,1
19819,595,241,1
19840,211,107,0
19846,595,243,0
19874,813,437,0
19920,814,452,0
19990,800,499,1
19991,799,510,1
19994,599,246,0
20008,800,506,1
20020,205,297,0
20030,343,266,0
20036,290,258,0
20046,806,473,1
20152,818,436,0
20160,811,436,1
20164,151,308,1
20236,802,472,0
20281,810,439,1
20339,211,108,0
20358,813,449,0
20404,599,244,0
20424,600,248,1
20486,799,472,0
20575,802,471,1
20585,289,262,0
20614,100,230,1
20632,799,487,0
20640,211,109,0
20666,100,231,1
20682,1152,345,0
20829,798,497,0
20857,284,282,0
20890,809,455,1
20901,103,232,0
20911,103,234,1
20942,799,479,0
20945,105,228,0
20947,813,455,0
20947,798,503,0
20983,977,517,1
21204,811,455,0
21209,808,469,1
21211,766,111,0
21228,801,477,0
21258,98,230,1
21262,97,231,1
21273,100,232,0
21292,100,233,0
21296,815,539,1
21330,801,492,0
21446,805,473,0
21462,801,502,1
21467,101,234,0
21470,1151,348,1
21470,102,230,0
21487,102,231,0
21520,164,267,1
21536,791,449,0
21576,105,233,0
21646,103,231,0
21650,195,290,1
21666,103,229,0
21677,808,456,1
21722,104,234,1
21722,105,234,1
21740,101,236,0
21744,104,228,0
21745,105,232,0
21767,210,113,0
21796,121,283,1
21798,1151,349,0
21848,151,311,1
21854,203,306,1
21861,812,456,1
21875,1151,350,0
21902,802,476,0
21909,103,228,1
21921,288,260,0
21924,102,235,0
21968,210,114,1
21991,800,500,0
21995,102,228,1
22015,102,229,1
22057,307,248,0
22081,797,490,1
22110,813,453,1
22211,595,229,0
22228,197,312,0
22241,796,513,1
22272,799,505,0
22278,101,232,1
22289,800,496,1
22308,210,115,0
22320,795,490,0
22407,801,497,1
22443,101,233,1
22446,304,252,0
22446,800,487,1
22514,805,463,1
22540,797,479,0
22551,210,116,0
22583,797,510,1
22602,809,456,1
22639,811,456,1
22647,803,470,1
22658,796,497,1
22749,595,241,1
22750,337,266,1
22854,284,283,1
22877,210,117,1
22941,341,266,0
23004,812,450,0
23096,801,509,0
23110,808,457,1
23119,204,310,0
23124,597,251,0
23142,595,251,1
23149,597,250,1
23161,599,250,0
23198,598,248,0
23212,795,499,1
23231,816,533,0
23274,595,248,1
23281,196,309,0
23296,121,263,1
23300,594,248,0
23320,593,249,0
23321,593,248,0
23344,305,250,1
23385,803,471,1
23414,594,246,0
23420,595,247,0
23471,792,515,0
23508,801,476,0
23533,206,294,0
23572,596,246,0
23619,597,246,1
23646,129,268,1
23654,788,531,1
23655,197,299,1
23683,803,479,1
23685,798,494,0
23726,120,273,1
23778,810,455,0
23787,813,451,1
23841,812,453,1
23875,808,438,1
23901,197,301,0
23904,129,270,1
23905,801,491,1
23998,599,244,0
24004,803,476,0
24061,600,248,1
24078,834,443,0
24096,765,119,0
24180,311,248,1
24198,804,460,1
24233,341,254,1
24242,813,454,0
24255,797,512,1
24336,791,520,1
24487,797,495,1
24502,785,529,1
24608,209,123,1
24634,289,259,1
24656,151,317,0
24690,814,453,0
24733,812,457,1
24733,813,452,0
24733,798,488,0
24749,800,474,0
24764,800,486,1
24938,793,514,1
24990,151,318,1
24991,209,124,1
24995,595,225,0
25008,597,226,1
25008,336,267,0
25038,799,494,0
25083,814,451,0
25282,209,125,0
25324,203,307,1
25367,121,280,0
25388,799,492,1
25391,340,254,0
25411,807,469,0
25471,809,470,0
25478,151,319,0
25565,103,228,1
25577,807,473,0
25638,196,305,0
25697,209,126,1
25715,812,454,0
25812,151,320,0
25827,305,251,0
25837,805,475,0
25871,198,286,1
25969,764,124,0
26006,209,127,0
26007,801,488,0
26028,801,506,1
26038,206,296,1
26148,800,482,0
26171,78,270,1
26199,796,487,1
26205,810,488,0
26213,798,491,0
26293,66,279,0
26330,764,125,1
26350,289,258,0
26406,151,321,0
26420,811,438,1
26537,101,227,1
26537,597,248,0
26570,100,230,1
26578,799,484,1
26600,799,481,1
26619,812,455,0
26626,101,228,0
26643,101,229,0
26667,816,537,0
26690,813,456,0
26703,802,477,0
26705,596,251,0
26707,594,251,0
26715,198,289,1
26752,823,469,1
26767,595,251,0
26769,598,248,1
26772,597,250,1
26773,598,250,1
26859,103,234,1
26865,151,322,0
26880,105,229,0
26887,593,249,1
26899,595,248,0
26899,104,234,0
26901,103,232,0
26918,593,248,1
26943,105,228,1
26972,594,246,1
26981,430,45,0
26989,809,457,1
26999,764,127,1
27001,593,245,0
27036,799,461,1
27042,313,247,1
27064,800,498,0
27072,208,131,1
27167,1146,370,1
27192,100,231,1
