t,x,y,p
0,1072,684,1
1,33,230,1
1,318,320,1
4,323,247,1
15,327,310,0
21,610,420,1
22,677,258,0
52,328,321,0
57,327,254,1
72,599,406,0
74,330,335,1
74,608,440,1
79,682,255,0
91,682,253,0
92,675,256,0
98,604,379,0
101,327,309,0
104,659,703,0
106,620,402,1
117,179,215,0
118,33,224,0
119,876,565,0
128,1114,423,0
128,1072,685,1
133,1111,431,1
146,1114,421,0
155,401,61,0
156,322,305,0
165,764,630,0
165,682,233,1
169,1117,408,0
169,858,586,0
180,681,253,0
194,1115,423,0
194,443,409,0
202,593,411,0
206,325,322,0
234,32,231,1
243,311,336,1
244,334,314,0
244,310,323,1
249,790,632,0
256,33,223,0
257,1117,409,0
266,574,392,0
275,323,246,1
287,323,302,0
289,194,578,0
296,633,695,0
297,1117,458,0
301,177,210,1
306,331,336,1
310,1117,421,0
310,1253,173,0
313,576,386,0
314,259,94,1
319,679,255,0
329,491,319,1
340,756,133,0
357,1119,417,0
360,676,258,0
361,313,317,1
361,341,258,0
373,1120,407,0
379,675,258,0
381,514,273,0
390,320,333,0
395,1111,430,1
401,530,332,0
402,600,402,0
407,1123,411,1
410,514,271,0
411,389,288,0
416,445,421,0
421,497,200,0
421,577,385,0
427,369,254,0
433,514,277,1
433,33,225,0
435,679,254,0
460,32,232,1
463,1110,451,1
464,323,257,0
473,341,255,0
478,327,311,0
487,181,210,1
495,577,383,0
496,329,320,0
511,580,437,1
518,367,247,1
525,913,121,0
531,320,317,0
535,306,331,1
535,757,121,0
537,179,212,1
537,341,259,0
549,326,250,1
559,323,248,1
565,324,303,0
567,756,132,0
575,807,389,0
590,595,404,1
592,333,315,0
617,320,337,0
621,174,212,1
623,181,211,1
652,756,134,0
654,318,361,0
664,1071,687,1
675,552,293,0
682,324,323,0
686,100,251,1
693,101,244,0
694,291,493,0
709,579,435,1
717,32,233,1
724,323,318,0
731,177,213,1
733,309,328,1
739,259,95,1
751,678,253,1
759,679,253,1
765,102,243,0
766,598,406,0
768,181,209,1
776,321,334,0
779,676,236,0
779,1116,422,0
815,706,137,0
821,309,327,1
828,678,254,1
833,673,236,0
838,310,329,0
839,675,245,0
839,332,243,1
860,163,240,0
862,329,347,1
872,331,342,0
874,1086,132,0
877,351,242,0
896,342,253,1
896,33,227,0
911,1055,313,0
914,313,320,1
915,573,396,0
920,179,213,1
923,174,211,1
928,587,416,1
930,100,252,1
953,317,309,1
