t,x,y,p
0,1222,164,0
12,594,246,1
25,1220,164,1
27,155,288,0
84,67,263,1
114,1220,165,0
139,1221,166,1
158,602,232,1
184,599,246,0
193,249,254,0
197,157,219,1
199,259,308,0
199,156,220,1
221,14,195,1
266,1221,167,0
313,143,305,1
344,1220,167,1
405,144,309,0
412,1221,168,0
423,1220,166,0
465,1220,168,0
483,913,64,0
539,1221,169,0
566,1220,169,0
617,1218,198,1
619,598,245,1
623,599,244,0
665,164,274,1
669,600,248,0
679,1221,170,1
696,145,198,0
712,154,315,0
726,1220,170,1
727,14,196,0
768,156,223,1
847,1221,171,1
879,1220,171,1
935,284,270,0
957,1221,172,0
984,14,197,1
1017,1220,172,1
1018,153,334,0
1113,1221,173,1
1152,1220,173,1
1276,1221,174,1
1284,156,226,1
1290,1220,174,0
1355,155,226,0
1379,93,270,1
1422,1221,175,1
1428,156,227,1
1442,1220,175,1
1456,155,227,0
1465,158,268,1
1521,86,275,0
1538,260,308,1
1539,157,293,1
1563,100,230,0
1571,1220,176,0
1579,1221,176,1
1603,155,228,1
1624,101,229,0
1661,100,231,0
1694,14,199,0
1708,156,229,0
1719,1220,177,0
1792,156,228,0
1800,155,332,0
1809,1221,177,0
1816,102,231,0
1862,1220,178,1
1879,156,290,0
1886,103,232,1
1910,103,234,0
1910,105,229,0
1939,105,228,0
1943,155,229,1
1968,104,234,0
1986,14,200,0
2079,1220,179,1
2101,155,231,1
2128,1220,180,0
2137,100,233,1
2149,285,270,0
2197,156,288,1
2217,139,317,1
2220,14,201,1
2251,98,230,0
2256,97,231,1
2269,100,232,1
2275,1220,181,1
2292,136,252,0
2294,259,309,1
2306,101,228,1
2396,1220,182,0
2458,101,234,1
2488,232,300,1
2513,155,233,1
2516,103,231,1
2519,260,310,0
2544,154,284,1
2547,1220,183,0
2549,1219,182,1
2553,102,230,0
2554,105,233,1
2690,1220,184,1
2695,101,236,1
2712,104,228,1
2720,105,234,0
2729,597,2,1
2732,105,232,0
2785,154,235,1
2791,102,235,1
2801,154,234,1
2848,1220,185,1
2873,155,314,1
2876,259,311,0
2878,103,228,0
2931,602,232,0
2948,102,228,1
2952,154,236,1
2961,102,229,1
2964,156,284,0
3003,1220,186,1
3009,68,279,1
3037,103,229,0
3074,598,245,1
3080,1219,186,1
3090,15,203,0
3140,1220,187,0
3158,165,279,1
3197,87,279,0
3210,154,237,1
3219,155,236,0
3248,153,333,0
3248,1219,187,0
