t,x,y,p
0,308,303,0
2,554,251,1
3,299,300,1
13,293,321,0
16,307,299,0
23,675,235,0
24,676,236,0
42,342,250,1
50,299,335,0
59,930,260,1
69,369,244,0
69,676,257,0
71,677,257,0
73,931,260,1
100,297,308,1
102,678,258,0
103,396,256,0
103,933,245,0
104,324,124,0
109,625,452,0
111,678,257,0
120,628,411,1
132,383,261,0
136,116,229,1
137,676,251,0
149,683,246,0
153,681,245,0
163,622,430,1
163,658,44,0
166,930,261,1
172,674,246,0
173,554,252,1
179,555,244,0
194,678,250,0
197,345,252,1
214,370,244,0
219,301,300,1
226,679,234,0
228,181,215,1
232,296,305,1
242,605,400,1
250,296,309,1
261,581,404,0
263,310,319,1
266,790,632,0
269,677,232,0
282,679,253,0
282,930,262,1
288,601,417,1
294,681,253,0
294,613,384,0
302,682,235,0
303,677,253,0
335,679,235,0
337,676,255,0
345,607,435,0
346,948,497,0
357,678,253,0
358,676,256,0
361,681,248,0
381,681,252,0
386,182,209,0
392,681,234,0
396,933,242,0
399,621,408,1
401,173,247,0
404,554,253,1
407,177,213,0
412,1051,460,0
414,296,312,1
418,675,257,0
431,593,421,0
436,310,315,0
438,383,260,0
455,299,313,0
457,123,515,0
465,177,210,0
468,1032,706,0
481,582,401,0
512,682,234,0
515,497,200,0
521,681,257,0
522,682,254,0
523,297,306,1
531,706,137,0
533,313,333,0
535,930,263,1
548,302,342,0
572,389,288,0
583,858,586,0
592,294,327,1
592,389,261,0
593,975,563,1
593,612,414,0
598,583,397,0
604,676,241,0
608,683,236,0
609,554,246,0
654,510,311,1
669,392,262,1
674,304,320,0
677,303,327,0
686,612,398,0
688,554,254,1
699,623,166,0
712,611,413,0
715,396,248,0
721,555,245,0
722,1187,305,0
738,306,331,1
742,555,243,0
745,582,397,0
748,683,237,0
751,582,403,0
757,659,703,0
758,975,564,1
760,678,236,0
769,587,409,0
775,530,332,0
776,315,334,1
789,309,327,0
796,682,255,0
797,902,645,0
798,298,314,0
800,316,308,0
800,117,147,0
812,1049,432,0
812,614,384,0
826,554,255,1
827,677,258,0
829,156,149,0
840,678,237,0
845,682,253,0
846,291,493,0
846,175,208,0
852,313,339,0
856,623,452,0
858,929,266,1
874,443,409,0
875,401,61,0
890,581,402,0
894,553,254,1
908,593,432,1
910,610,425,0
916,554,247,0
918,312,312,0
924,929,267,1
931,677,252,0
941,1055,313,0
942,556,234,0
957,601,440,0
958,305,298,0
961,932,245,0
975,555,234,0
979,553,255,1
983,21,228,0
1019,680,258,0
1022,1053,569,0
1037,312,311,0
1077,554,256,1
1082,676,236,1
1086,770,691,0
1092,396,255,0
1095,301,312,1
1100,675,256,0
1105,304,324,0
1111,174,212,0
1113,294,320,0
1114,605,414,1
1126,304,300,0
1149,112,229,1
1159,298,313,0
1163,24,7,0
1164,932,246,0
1166,581,149,0
1168,304,307,0
1183,817,286,0
1187,678,233,1
1213,974,566,1
1215,607,404,1
1215,630,404,1
1216,582,402,0
1220,315,333,1
1230,1249,436,0
1235,679,235,1
1236,298,302,1
1241,360,253,1
1247,1163,425,1
1261,507,321,1
1266,554,257,1
1274,384,241,1
1276,305,311,0
1276,306,312,0
1285,1260,668,0
1289,307,300,0
1292,932,248,0
1306,582,400,0
1313,553,257,1
1330,369,242,0
1330,302,330,0
1336,303,324,0
1340,555,248,0
1344,300,334,0
1350,679,254,0
1352,370,243,0
1353,305,318,0
1366,675,245,1
1379,764,630,0
1389,903,705,0
1402,307,303,0
1410,448,334,0
1413,292,319,1
1414,1123,209,0
1415,312,338,1
1423,463,303,0
1430,554,245,0
1432,114,223,0
1447,675,235,1
1448,391,255,1
1448,324,124,0
1454,554,250,0
1470,293,329,1
1473,552,293,0
1474,609,429,0
1479,553,258,1
1480,304,321,0
1482,295,333,1
1485,823,238,0
1485,1253,173,0
1489,679,253,1
1493,678,253,1
1495,1086,132,0
1498,314,330,1
1509,554,258,1
1512,599,417,1
1522,316,307,0
1527,932,250,0
1546,598,380,1
1547,586,386,0
1564,554,248,0
1568,556,230,0
1585,298,317,0
1591,685,239,1
1592,932,247,0
