t,x,y,p
0,1237,543,0
100,82,282,1
126,298,335,1
134,599,246,0
138,597,226,0
156,300,316,0
180,91,280,1
226,287,333,1
484,593,243,1
502,595,225,0
525,287,336,1
526,599,244,0
547,932,572,0
676,220,247,1
768,1236,545,0
891,1158,114,0
957,289,328,0
976,184,292,1
1080,300,318,1
1118,240,269,1
1149,187,284,1
1169,135,313,0
1217,221,302,0
1234,296,338,1
1304,183,295,1
1307,1158,115,0
1420,61,263,1
1491,202,260,0
1501,184,294,0
1529,139,336,1
1534,70,267,1
1585,225,311,0
1597,296,308,0
1616,61,264,0
1627,222,249,1
1800,265,264,1
1809,301,320,1
1822,286,316,1
1959,296,307,1
2046,91,277,0
2060,203,258,1
2067,184,296,0
2076,943,517,0
2292,174,303,1
2306,91,276,1
2344,225,292,1
2388,943,520,1
2407,299,331,0
2497,286,315,0
2546,186,277,0
2660,227,305,1
2710,138,341,1
2800,289,327,1
2850,256,252,1
2912,128,341,1
2957,199,256,0
3047,91,278,1
3048,146,324,1
3079,184,297,0
3090,943,518,0
3117,286,317,1
3210,298,337,0
3223,594,251,1
3235,286,318,1
3236,595,251,0
3271,597,250,1
3285,598,248,0
3315,599,250,1
3348,100,230,0
3362,301,319,1
3369,101,229,1
3389,146,311,0
3407,595,248,0
3412,100,231,1
3414,593,249,0
3428,594,248,0
3434,289,326,0
3448,593,248,0
3461,135,306,0
3476,595,241,1
3529,593,246,0
3543,136,312,1
3554,294,340,1
3562,593,245,1
3563,301,318,0
3585,78,280,1
3601,196,259,0
3614,289,309,1
3639,105,228,1
3648,194,283,1
3673,103,232,0
3707,103,234,0
3827,297,337,0
3870,299,320,1
3876,203,257,0
3886,287,312,0
3905,99,231,0
3920,186,276,1
3994,1231,556,1
3998,298,336,0
4011,98,230,0
4020,97,231,0
4032,100,233,0
4049,100,232,1
4080,298,333,0
4100,187,285,0
4109,301,317,0
4155,599,244,0
4184,599,246,0
4235,102,231,0
4256,103,231,1
4277,101,234,0
4298,105,233,0
4312,102,230,0
4348,104,228,0
4407,288,328,0
4429,101,236,1
4432,103,228,1
4471,102,229,0
4471,138,342,1
4480,104,234,1
4483,105,232,0
4493,105,234,0
4524,300,323,1
4545,102,235,0
4577,298,332,0
4603,227,303,1
4660,103,229,1
4746,201,259,1
4747,146,310,1
4803,102,228,1
4837,289,330,0
4888,198,259,1
4922,183,292,0
4933,103,230,1
5004,101,232,1
5140,101,233,0
5286,226,255,1
5302,130,255,0
5311,202,258,1
5368,288,313,0
5406,224,290,0
5473,139,337,1
5477,219,248,0
5485,289,325,1
5584,1229,561,0
5922,1228,562,1
6015,289,320,1
6025,195,286,1
6097,595,225,1
6245,225,309,0
6318,212,252,1
6447,213,252,1
6511,138,340,1
6607,1227,564,1
6660,72,264,1
6737,597,248,0
6814,597,251,0
6846,596,251,1
6851,1227,565,1
6852,598,248,0
6862,595,251,0
6873,598,250,0
