t,x,y,p
0,505,383,1
2,508,364,0
5,508,381,0
12,505,390,1
19,491,378,1
64,349,322,1
100,1186,190,0
110,81,273,1
129,346,318,0
134,506,385,0
173,488,353,0
180,347,317,0
199,507,382,0
248,1186,191,1
256,484,384,0
259,498,364,0
287,340,325,1
354,489,353,1
363,1185,191,1
368,252,324,1
393,130,267,0
410,73,260,0
411,482,388,0
423,255,252,1
429,117,265,1
436,487,363,1
444,1186,192,1
471,243,327,0
487,1185,192,0
514,482,391,0
517,78,325,1
526,484,369,1
551,72,271,0
558,344,311,1
603,359,326,0
604,98,342,0
605,492,373,1
610,1186,193,1
631,497,372,0
631,72,261,0
637,117,270,1
654,849,627,1
683,246,336,1
685,510,363,0
691,1185,193,1
746,100,230,0
759,344,345,1
805,244,315,0
819,340,312,0
828,100,231,0
840,1185,194,0
841,492,351,0
889,252,342,0
909,488,368,0
910,1185,195,1
913,1186,194,1
924,130,266,1
951,597,248,0
960,247,310,1
990,347,318,1
1024,594,251,0
1024,596,251,0
1037,246,337,1
1046,597,250,0
1059,598,248,1
1060,103,234,1
1064,95,258,1
1066,599,250,0
1068,595,251,1
1070,105,229,1
1076,1185,196,1
1080,104,234,1
1084,105,228,0
1096,492,375,0
1100,103,232,0
1110,598,247,0
1124,849,628,1
1142,598,250,1
1176,487,361,0
1204,102,231,1
1235,593,249,0
1246,594,248,0
1246,595,248,0
1250,1185,197,0
1258,593,248,1
1282,77,324,0
1285,242,342,0
1291,509,365,1
1309,252,320,1
1309,358,320,0
1309,510,364,1
1313,594,246,0
1313,94,247,1
1317,493,353,1
1319,346,341,0
1347,595,247,0
1356,593,243,0
1358,488,366,1
1362,105,280,1
1381,506,382,0
1389,100,233,1
1392,243,331,0
1398,69,291,0
1413,132,264,1
1426,100,247,0
1434,100,232,1
1461,98,230,1
1464,595,225,1
1480,97,231,0
1484,1185,198,0
1493,484,383,0
1550,508,367,1
1600,849,629,1
1609,345,345,0
1617,249,308,1
1621,345,344,1
1631,362,328,0
1636,1185,199,1
1636,490,379,1
1644,485,383,1
1652,243,338,1
1669,101,234,0
1672,493,354,0
1690,103,231,0
1702,507,366,1
1710,105,233,1
1748,343,344,1
1778,82,266,0
1781,104,228,1
1808,102,230,1
1814,101,236,0
1824,105,234,1
1836,102,235,0
1851,1185,200,0
1854,102,229,0
1863,342,333,1
1889,103,228,1
1892,72,263,1
1902,742,323,0
1912,105,232,0
1927,599,244,0
1951,103,229,0
1958,493,378,0
1970,97,328,1
1974,598,245,1
1995,344,342,0
2000,1184,201,1
2009,75,322,1
2018,484,382,0
2018,600,248,0
2022,246,314,0
2069,491,377,1
2115,488,377,1
2137,344,305,0
2156,488,367,0
2171,252,323,1
2192,1184,202,0
2196,595,241,0
2202,481,390,1
2237,90,307,1
2246,346,342,0
2248,492,371,0
2267,1184,203,1
2269,77,326,1
2286,252,322,1
2288,742,324,1
2295,602,232,1
2305,507,362,1
2345,350,313,1
2364,96,339,0
2421,1184,204,0
2440,848,631,1
2449,741,325,0
2470,508,380,1
2479,101,232,0
2525,488,364,0
2552,106,285,1
2560,247,312,0
2561,101,233,1
2573,508,366,1
2583,509,377,0
2584,741,326,0
2606,1184,205,1
2732,248,311,0
2742,509,366,1
2749,490,355,1
2789,340,335,1
2797,484,385,0
2811,741,327,0
2823,1184,206,0
2865,508,365,1
2897,1183,206,1
2909,356,339,1
2914,246,331,1
2943,492,376,1
2948,242,327,0
2964,503,391,1
2989,492,379,0
2990,489,355,0
2994,246,313,0
3001,82,316,0
3002,491,352,0
3031,498,371,1
3048,490,352,1
3055,485,386,0
3081,1183,207,0
3084,342,330,0
3100,485,381,0
3110,492,374,0
3134,1184,207,1
3147,1183,208,0
3149,506,388,1
3157,508,370,0
3241,342,334,0
3359,484,368,1
3360,492,352,0
3365,485,390,0
3382,130,270,1
3386,81,314,0
3389,130,273,0
3395,246,333,1
3395,128,272,0
3399,344,332,1
3400,509,364,0
3478,484,370,0
3509,510,365,1
3522,1183,210,0
3528,130,261,0
3530,490,378,1
3537,96,329,0
3567,93,247,0
3580,485,389,1
3688,345,338,0
3698,1183,211,0
3706,116,267,1
3741,489,354,0
3761,508,378,1
3787,490,376,1
3822,495,370,0
3860,1183,212,1
3865,499,389,0
3870,491,380,1
3973,487,355,0
3990,357,339,1
3992,494,369,0
4010,349,313,0
4066,350,316,1
4079,344,304,1
4081,487,362,1
4090,508,361,1
4116,486,388,0
4117,508,377,0
4123,492,380,1
4126,349,315,0
4130,342,329,0
4137,348,318,0
4157,96,322,0
4165,344,331,0
4166,1183,213,0
4198,493,379,0
4223,495,372,0
4225,507,378,0
4248,102,246,1
4256,80,267,0
4286,95,319,0
4302,102,247,0
4338,94,335,1
4360,354,327,0
4366,598,245,0
4386,346,338,1
4398,490,377,0
4420,507,364,0
4421,345,341,1
4423,497,365,0
4484,345,339,1
4497,361,346,0
4509,492,382,1
4595,353,331,0
4608,597,251,1
4636,506,389,1
4664,597,250,1
4669,598,248,0
4670,595,251,0
4672,343,335,1
4702,599,250,1
4710,508,376,0
4720,343,328,1
4726,509,363,1
4739,739,335,0
4740,346,340,1
4771,357,340,1
4774,492,378,1
4785,497,366,0
4793,495,367,1
4823,488,365,1
4839,593,249,1
4862,595,248,1
4870,129,268,0
4892,593,248,0
4902,72,262,1
4912,505,385,1
4934,483,353,1
4974,346,343,0
5000,1182,218,1
5009,492,372,1
5011,1079,20,1
5028,739,336,1
5042,501,349,0
5058,493,352,0
5070,1182,219,1
5108,599,246,0
5119,491,376,1
5148,69,272,0
5198,506,384,1
5207,595,241,1
5247,249,306,1
5299,129,254,0
5310,343,329,0
5310,17,194,0
5326,739,337,0
5355,131,260,0
5384,357,341,1
5400,345,310,0
5427,485,370,0
5432,345,308,0
5445,509,369,1
5452,507,367,1
5455,98,248,1
5464,485,368,0
5511,345,330,1
5542,491,374,1
5543,599,244,0
5550,72,261,0
5553,485,387,1
5565,600,248,1
5590,485,362,1
5595,346,339,0
5627,17,195,0
5630,344,333,1
5671,252,313,0
5702,88,253,0
5718,504,391,1
5731,348,323,0
5737,130,262,0
5738,85,256,1
5756,485,358,0
5816,501,350,0
5850,510,363,0
5863,506,387,1
5887,17,196,0
5897,738,340,1
5944,484,387,1
5946,493,351,1
5979,116,268,0
5991,507,383,1
5994,496,366,1
6024,494,367,0
6024,491,379,0
6027,485,382,0
6034,121,253,0
6051,488,357,1
6075,345,342,0
6097,508,362,1
6104,350,322,1
6113,243,329,1
6160,738,341,0
6183,360,320,1
6193,495,366,0
6212,94,319,0
6213,341,336,1
6268,509,368,0
6290,509,379,1
6331,341,326,0
6346,508,381,1
6409,500,372,0
6480,246,335,1
6485,243,336,1
6502,508,379,1
6550,486,382,1
6628,352,327,1
6631,508,363,1
6711,100,230,1
6721,347,339,0
6726,489,377,1
6745,1180,228,0
6767,84,312,0
6785,100,231,1
