t,x,y,p
0,213,57,0
9,574,414,0
9,564,450,1
174,556,437,0
176,100,231,0
197,104,230,1
201,151,247,1
217,563,422,0
220,213,58,0
273,100,233,1
276,102,231,0
276,212,58,1
290,102,230,1
324,99,231,0
409,212,59,0
455,557,477,1
501,559,440,1
533,101,233,0
608,212,60,1
630,151,248,1
690,101,234,0
755,563,450,0
763,212,61,0
763,160,256,1
788,1056,86,0
986,573,413,0
1015,1056,87,1
1063,151,249,1
1089,566,467,0
1097,558,480,1
1124,574,416,0
1237,211,63,1
1291,598,245,0
1302,105,229,0
1306,217,249,0
1323,1056,88,0
1362,101,232,0
1377,102,229,1
1379,595,225,1
1405,566,431,0
1410,101,269,0
1427,597,226,0
1456,595,251,1
1490,597,250,0
1570,597,251,0
1570,594,251,0
1573,211,65,1
1671,151,250,1
1684,96,273,1
1691,561,424,0
1699,595,241,1
1761,1055,89,0
1844,1055,90,0
1891,164,256,1
1923,211,66,0
1971,151,251,0
1995,166,273,0
2009,0,209,0
2041,1055,91,1
2084,210,67,0
2117,597,248,0
2128,598,247,0
2134,596,246,0
2140,595,248,1
2146,556,480,1
2169,210,68,1
2182,599,246,0
2227,598,248,1
2251,569,420,1
2262,557,476,0
2268,557,485,1
2355,565,425,1
2362,210,69,0
2458,557,434,0
2469,564,458,1
2625,210,70,0
2639,557,439,1
2658,562,446,0
2697,559,480,1
2699,564,434,1
2841,162,252,1
2919,565,423,0
2965,1054,94,0
3033,563,436,0
3037,209,72,1
3122,558,441,1
3181,209,73,0
3326,559,484,1
3334,209,74,1
3437,1054,96,1
3582,209,75,1
3690,208,75,0
3779,559,443,1
3782,208,76,0
3932,208,77,1
3964,571,419,0
3990,572,415,1
4045,1053,98,0
4076,564,471,0
4131,208,78,0
4360,208,79,1
4420,564,449,1
4433,95,273,0
4507,557,480,1
4575,208,80,0
4584,563,434,1
4587,97,262,1
4596,0,214,0
4601,207,79,1
4667,568,466,1
4737,558,478,0
4773,207,81,1
4899,102,268,1
4922,564,435,0
4949,207,82,0
4984,556,476,1
4985,560,438,1
5050,595,251,1
5068,560,482,1
5088,596,251,0
5187,207,83,1
5192,95,280,0
5223,145,303,0
5310,143,310,0
5366,564,472,1
5410,207,84,1
5583,206,85,0
5739,595,248,1
5739,594,248,1
5744,598,247,0
5745,206,86,0
5771,597,246,0
5773,596,246,1
5789,599,246,1
5831,566,421,0
5868,566,426,0
5914,569,465,0
5948,100,233,0
5993,206,87,1
6017,567,467,0
6022,557,438,0
6028,568,420,1
6044,100,231,1
6047,573,417,1
6063,565,470,1
6073,563,473,0
6167,99,229,0
6181,563,431,0
6184,565,432,0
6196,69,259,1
6209,104,230,1
6209,102,230,0
6234,206,88,0
6237,96,263,0
6351,559,483,1
6388,1051,107,1
6423,165,275,1
6423,165,263,0
6460,101,233,0
6469,205,89,0
6561,205,90,0
6616,101,234,0
6644,100,280,0
6648,1051,108,1
6699,558,477,0
6705,574,417,1
6716,205,91,0
6719,102,267,0
6733,95,266,1
6757,569,464,1
6921,205,92,1
6951,1051,109,0
6976,99,231,0
7146,100,279,1
7185,1197,600,0
7203,204,93,0
7219,102,231,1
7235,105,229,0
7303,564,425,1
7305,571,418,0
7360,204,94,1
7407,566,445,1
7412,565,471,1
7542,568,417,0
7557,204,95,1
7718,204,96,0
7831,166,263,0
7923,204,97,1
7924,554,483,0
8009,559,441,1
8191,564,419,1
8211,203,98,0
8252,204,98,0
8328,571,417,0
8344,203,99,0
8415,52,253,1
8486,560,484,1
8508,203,100,1
8568,559,442,0
8586,142,311,1
8672,595,251,0
8684,562,474,1
8695,95,268,0
8696,597,250,1
8699,574,412,0
8721,203,101,1
8724,597,251,1
8761,564,432,1
8821,216,248,0
8902,203,102,0
9157,202,103,1
9199,429,190,0
9212,566,469,1
9322,597,248,1
9327,595,248,0
9345,563,447,0
9349,598,247,1
9350,202,104,0
9367,596,246,0
9397,561,438,1
9399,599,246,0
9456,593,249,1
9470,202,105,1
9639,567,429,0
9659,567,420,0
9689,560,444,0
9702,202,106,1
9803,566,424,1
9908,201,106,1
9968,202,107,1
9986,201,107,1
10025,567,468,0
10049,560,437,1
10067,573,416,0
10105,201,108,0
10110,100,277,1
10165,567,430,0
10194,202,108,0
10256,564,452,0
10299,201,109,1
10355,597,226,1
10394,572,417,0
10462,165,272,1
10487,201,110,0
10650,564,453,1
10702,595,241,1
10704,201,111,0
10819,572,418,1
10903,102,266,0
10925,201,112,0
10941,200,112,1
11005,562,447,0
11099,561,433,0
11114,200,113,1
11295,200,114,0
11299,1140,81,0
11319,575,414,1
11365,600,230,1
11464,200,115,1
11465,98,230,1
11652,200,116,1
11672,561,436,0
11770,563,438,0
11810,559,485,0
11813,570,418,0
11815,53,250,1
11900,200,117,1
11919,199,117,0
12008,565,424,0
12082,104,231,0
12090,199,118,1
12132,200,118,1
12138,473,0,0
12148,100,231,1
12150,100,233,0
12170,104,230,0
12217,102,230,1
12245,199,119,1
12258,595,251,0
12259,102,270,0
12264,99,229,0
12297,596,251,0
12315,564,430,0
12347,473,1,1
12374,576,413,1
12381,593,249,1
12423,101,233,1
12471,568,425,1
12472,569,425,1
12475,199,120,1
12565,101,234,0
12567,568,426,0
12587,101,232,0
12594,102,233,1
12620,563,433,1
12649,199,121,1
12702,473,2,1
12751,198,121,0
12864,560,433,1
12872,199,122,0
12897,99,231,1
12905,198,122,0
12926,594,248,1
12933,560,481,1
12944,598,247,1
12947,595,248,1
12974,596,246,0
12996,599,246,1
13026,564,436,0
13059,198,123,0
13157,199,123,0
13203,472,4,1
13219,102,231,1
13234,560,480,0
13236,198,124,0
13237,575,413,0
13259,105,229,0
13287,595,225,0
13369,566,460,0
13435,567,469,0
13440,198,125,1
13462,472,5,0
13477,570,420,1
13520,164,264,0
13609,562,475,0
13624,555,483,0
13650,198,126,0
13685,557,475,0
13698,164,270,0
13727,565,422,1
13728,472,6,0
13735,576,412,0
13739,562,435,1
13796,197,126,1
13826,559,437,0
13845,573,433,1
13870,565,450,0
13878,197,127,0
13894,198,127,1
14061,197,128,0
14108,566,471,1
14255,197,129,1
14294,563,437,1
14481,197,130,1
14482,566,458,1
14538,471,9,1
14606,567,462,1
14624,566,470,0
14648,560,435,0
14671,554,480,1
14688,197,131,1
14791,196,131,1
14811,471,10,1
14886,197,132,0
14929,196,132,0
15047,196,133,0
15105,143,311,1
15165,558,439,0
15198,560,434,0
15228,196,134,0
15442,196,135,1
15651,195,135,0
15675,196,136,1
15676,94,266,1
15686,560,479,1
15690,574,413,0
15703,598,245,1
15734,195,136,1
15853,567,445,0
15858,595,251,0
15863,196,137,1
15868,470,14,0
15881,195,137,1
15932,597,250,1
15956,557,436,0
16032,565,459,0
16042,568,446,0
16055,195,138,0
16087,568,424,0
16096,560,483,0
16107,470,15,0
16135,165,274,0
16205,569,466,1
16247,565,457,0
16263,195,139,1
16316,558,481,0
16401,568,467,0
16402,195,140,0
16429,100,281,0
16441,166,274,0
16442,469,16,0
16547,95,269,0
16549,598,247,0
16570,596,246,0
16572,595,248,0
16589,599,246,1
16636,597,248,1
16638,595,241,1
16659,195,141,1
16722,469,17,0
16752,194,141,0
16853,95,267,1
16875,469,18,1
16882,194,142,1
16897,195,142,1
17047,194,143,1
17152,96,277,1
17194,195,143,1
17213,194,144,0
17229,574,411,0
17334,566,450,0
17337,556,474,0
17338,95,274,1
17346,562,445,0
17387,573,415,1
17446,194,145,0
17449,572,419,0
17573,96,283,1
17594,569,428,0
17597,100,233,0
17619,194,146,0
17672,564,433,0
17703,565,455,0
17763,193,146,1
17765,557,486,1
17816,164,276,1
17836,572,411,0
17848,194,147,0
17893,193,147,0
17905,52,247,0
17963,574,416,1
17988,100,231,0
18017,564,426,1
18063,104,230,0
18078,193,148,0
18080,561,482,1
18117,564,423,1
18121,568,463,0
18224,193,149,0
18238,468,23,1
18296,561,444,0
18307,53,248,0
18390,575,415,1
18390,101,233,1
18398,561,446,0
18405,565,454,1
18458,193,150,1
18535,468,24,0
18547,101,234,1
18636,193,151,0
18815,96,264,0
18850,193,152,1
18859,99,231,0
18880,192,152,0
18884,556,475,0
18925,560,439,1
19047,192,153,1
19071,193,153,0
19109,165,273,1
19116,467,26,0
19176,102,231,1
19187,101,232,0
19206,142,312,0
19216,105,229,0
19220,192,154,1
19230,102,230,0
19271,102,229,1
19283,597,226,0
19313,467,27,0
19427,192,155,1
19437,96,262,0
19464,555,479,0
19467,595,251,1
19510,596,251,1
19519,565,451,0
19560,597,251,1
19560,53,251,1
19620,467,28,0
19621,192,156,1
19854,467,29,1
19903,564,428,0
19906,191,157,0
19910,568,429,0
19916,192,157,0
20053,191,158,1
20072,52,254,1
20142,594,248,0
20153,598,247,0
20166,595,248,1
20182,466,30,0
20188,596,246,1
20194,568,427,0
20220,599,246,1
20222,566,423,1
20228,560,440,0
20231,191,159,0
20239,564,457,0
20246,597,248,1
20317,564,418,0
20364,102,269,1
20422,559,478,0
20431,191,160,1
20434,466,31,1
20529,569,424,0
20571,570,465,1
20601,565,453,1
20601,191,161,1
20617,563,430,1
20807,191,162,0
20911,568,448,0
21092,190,163,1
21275,190,164,1
21285,559,477,1
21289,565,473,0
21316,571,415,1
21383,465,35,0
21403,190,165,1
21617,465,36,1
21641,190,166,0
21864,560,441,0
21896,465,37,1
21951,190,167,0
21991,574,415,1
22088,94,268,1
22153,190,168,0
22168,575,417,1
22238,189,169,1
22244,189,168,1
22330,94,265,1
22414,189,170,0
22478,565,449,1
22504,569,463,0
22522,565,456,0
22538,595,241,0
22624,189,171,1
22689,464,40,0
22718,562,434,0
22728,566,442,1
22766,303,286,0
22828,189,172,0
22921,571,409,1
22946,564,448,0
22969,464,41,1
23043,189,173,1
23050,595,251,0
23096,565,452,1
23142,188,173,1
23155,597,250,1
23200,593,249,1
23238,188,174,0
23266,464,42,0
23267,565,429,0
23389,189,174,0
23440,188,175,1
23547,565,434,1
23575,188,176,0
23614,562,433,0
23614,161,268,1
23622,94,267,1
23662,575,416,1
23701,97,282,1
23765,188,177,1
23770,582,410,0
23784,598,247,1
23787,595,248,0
23798,463,44,1
23810,596,246,0
23829,599,246,0
23840,595,247,0
23997,188,178,1
24028,100,231,1
24048,463,45,1
24075,574,418,1
24085,102,230,1
24102,104,230,0
24126,100,232,0
24138,558,476,1
24138,560,485,0
24177,99,229,1
24202,188,179,1
24244,100,233,1
24250,568,423,1
24252,187,178,0
24252,568,447,0
24260,187,179,1
24262,463,46,1
24311,558,479,1
24368,101,233,1
24383,565,472,1
24397,162,273,1
24421,187,180,1
24499,96,271,0
24585,187,181,0
24691,559,479,1
24771,187,182,1
24836,99,231,0
24856,462,48,1
24972,187,183,0
24999,562,431,0
25102,462,49,1
25144,101,232,0
25154,105,229,0
25163,186,183,1
25184,564,474,0
25187,102,231,1
25189,187,184,1
25254,562,436,1
25258,595,225,0
25260,186,184,1
25326,1182,418,1
25418,186,185,0
25422,564,473,1
25443,187,185,1
25498,561,483,0
25500,166,268,1
25592,61,257,1
25606,186,186,0
25700,566,430,1
25749,53,254,0
25750,575,412,0
