t,x,y,p
0,896,684,1
13,814,708,1
270,1173,536,0
283,613,160,1
381,614,159,0
391,732,716,0
460,76,327,1
537,615,159,0
569,1117,587,0
585,750,711,1
723,612,157,1
746,1222,530,0
882,1160,549,0
883,798,710,0
958,1199,505,1
998,1045,622,1
1166,614,158,0
1424,1094,529,1
1461,964,629,0
1491,612,158,0
1502,753,710,0
1544,132,448,0
1581,614,157,1
1651,805,713,1
1652,613,158,1
1705,1160,554,0
1724,613,157,1
1891,772,700,0
1929,1111,575,1
1976,1198,213,1
2045,131,472,1
2295,1176,553,1
2320,804,714,1
2397,1112,572,0
2497,763,713,1
2529,772,699,1
2548,612,156,0
2568,1113,580,0
2700,614,156,0
2813,1220,525,0
2925,1112,577,0
2965,949,657,0
3090,613,156,0
3138,772,701,1
3184,613,154,1
3216,613,155,0
3227,132,469,0
3279,612,157,0
3420,611,156,0
3514,1073,596,1
3620,852,634,0
3632,132,484,0
3656,1183,554,0
3721,612,155,1
3800,856,629,0
3821,805,712,0
3827,1114,581,1
3830,1045,620,1
3879,951,653,1
3914,771,703,1
3965,768,707,0
3983,1219,522,1
4214,611,155,0
4269,754,712,0
4314,772,697,1
4380,762,705,1
4383,751,714,0
4479,1157,546,0
4577,610,155,1
4596,1077,606,0
4695,612,154,1
4728,932,662,0
4751,702,287,1
4852,610,154,1
4950,1221,529,0
5085,849,449,0
5166,612,153,1
5167,611,154,1
5208,916,633,0
5235,761,707,0
5243,774,700,1
5260,735,719,1
5275,936,666,0
5330,764,666,1
5336,762,706,0
5391,767,704,0
5416,357,502,0
5435,771,683,0
5459,1003,639,1
5516,763,705,1
5635,611,153,0
5694,773,701,1
5699,802,714,0
5743,1221,532,1
5763,1112,576,0
5849,1110,570,0
5854,763,704,0
5906,1118,587,1
5925,1116,587,1
5938,1160,545,1
5972,973,652,0
6034,1040,612,1
6044,1156,542,0
6064,750,325,0
6194,761,708,1
6292,772,702,0
6292,770,702,1
6400,766,681,0
6414,610,153,1
6528,771,702,0
6546,773,702,1
6603,1224,526,1
6796,770,713,1
6827,856,633,0
6888,610,152,0
6890,773,699,0
6918,769,704,1
6946,1046,619,1
6958,1071,592,0
6982,611,151,0
7090,609,153,0
7111,773,700,1
7129,818,154,0
7210,612,152,1
7300,1158,548,1
7307,770,704,1
7400,774,701,0
7598,611,152,0
7606,804,713,1
7737,953,660,0
7737,609,152,1
7762,770,703,0
7795,763,706,1
7822,760,706,0
7878,794,715,0
7961,739,719,1
7978,770,368,0
8162,1042,612,1
8195,1111,573,1
8238,1016,635,0
8244,772,698,1
8323,1223,532,1
8492,1041,614,0
8507,758,708,1
8562,608,151,0
8574,728,474,1
8581,950,659,1
8657,762,708,1
8748,771,703,0
8809,1057,594,1
8890,759,707,1
8965,772,701,0
8967,749,710,0
9093,766,708,1
9124,771,698,0
9197,773,698,0
9337,736,419,0
9455,1268,650,0
9488,772,700,1
9488,761,705,0
9588,610,150,0
9653,729,479,0
9751,800,715,1
9795,1048,621,1
9883,769,703,1
9905,804,604,1
9911,609,149,0
9924,761,706,0
9951,772,703,1
10063,728,473,0
10075,608,152,0
10111,610,149,1
10177,771,701,0
10305,1157,544,0
10369,609,151,0
10369,770,705,1
10393,642,25,1
10402,772,699,1
10488,607,150,1
10491,729,480,1
10505,730,484,1
10539,729,481,1
10539,764,705,1
10584,1115,584,1
10623,951,659,1
10645,742,718,1
10651,731,487,0
10651,1047,622,1
10708,771,704,1
10824,607,149,1
10841,1167,523,1
10869,768,703,1
10888,767,706,0
11026,768,705,0
11067,609,148,1
11118,730,482,1
11163,1177,554,1
11198,730,483,0
11226,1081,605,0
11299,731,486,0
11330,608,150,0
11393,749,714,1
11429,608,149,1
11653,1117,585,1
11728,710,423,1
11836,731,488,0
11886,732,491,1
11947,762,715,0
11953,732,489,0
11965,724,147,1
11977,733,495,0
12098,773,703,1
12104,608,148,0
12203,1159,545,0
12209,1119,584,0
12258,732,492,1
12302,772,702,1
12365,769,710,1
12366,759,708,1
12440,857,634,0
12456,806,712,0
12497,607,148,1
12497,606,148,0
12525,762,705,1
12721,763,703,0
12814,734,497,1
12840,608,147,1
12854,952,661,1
12860,804,711,0
12931,1160,548,0
13113,733,496,0
13157,807,712,1
13202,766,705,1
13203,733,494,1
13224,734,498,0
13249,763,704,0
13259,734,499,0
13358,762,706,0
13374,760,707,1
13530,773,701,0
13541,1077,562,1
13559,768,709,0
13588,767,714,0
13630,774,678,0
13637,761,707,1
13734,771,697,0
13811,743,712,1
13813,1167,512,1
13887,606,147,0
13888,733,497,1
13888,735,502,1
13914,773,697,1
13914,734,502,0
13968,859,630,1
13969,605,146,0
13973,735,503,0
14043,773,700,0
14139,762,704,0
14157,795,714,1
14165,732,708,0
14176,860,628,1
14281,775,699,1
14347,763,705,0
14352,1163,509,0
14366,734,504,1
14445,736,505,0
14453,743,717,0
14466,735,504,1
14488,735,505,1
14493,772,701,0
14514,1163,503,1
14607,606,146,1
14681,736,506,1
14793,736,508,1
14817,1162,505,0
14833,773,702,0
14885,607,146,1
14944,772,704,1
15057,1080,603,0
15065,736,507,1
15091,726,696,1
15225,736,504,0
15274,772,696,1
15292,737,511,0
15300,734,500,1
15315,736,509,0
15422,1112,712,1
15472,1158,545,1
15524,1078,562,1
15543,858,632,1
15558,769,679,0
15578,810,710,1
15580,735,500,0
15609,773,699,0
15618,807,711,1
15638,735,501,0
15651,606,145,1
15683,774,698,0
15762,737,512,1
15776,741,715,0
15788,46,667,0
15792,771,702,0
15812,738,513,1
15833,763,707,0
15863,738,514,0
15881,738,512,0
15884,604,145,0
15902,772,695,0
15945,737,513,1
15965,1042,618,1
16146,762,707,0
16168,783,561,0
16300,738,516,1
16384,605,145,0
16387,773,706,0
16433,737,509,1
16434,770,683,0
16482,606,144,0
16494,772,697,0
16501,743,716,1
16525,774,702,1
16557,773,698,0
16603,739,517,1
16607,1223,530,0
16612,774,697,0
16658,953,656,1
16696,737,510,1
16697,774,700,1
16751,739,518,0
16754,606,143,0
16769,738,515,0
16816,1074,599,0
16901,1040,613,0
16914,860,629,1
16926,769,705,0
16937,1178,554,1
16964,739,520,1
16995,739,519,0
16996,742,712,1
17019,738,517,0
17048,733,708,0
17054,765,713,1
17058,738,715,1
17174,775,700,0
17220,605,144,1
17253,795,716,0
17291,740,521,0
17312,739,515,0
17341,770,703,0
17392,773,704,0
17429,738,518,1
17440,740,522,1
17459,738,519,0
17470,771,703,0
17471,772,700,1
17489,740,524,1
17515,741,719,0
17533,772,682,1
17535,805,714,0
17558,1165,562,0
17602,740,523,0
17622,763,706,0
17723,604,144,1
17762,739,521,1
17771,772,698,0
17782,1163,564,1
17833,740,520,1
17855,606,142,1
17874,774,699,1
17883,860,627,0
17993,762,709,0
18038,772,703,1
18053,741,525,0
18108,872,635,1
18322,774,701,0
18324,773,681,0
18324,605,142,1
18365,741,527,0
18412,763,710,1
18495,1114,576,1
18502,735,716,0
18541,741,524,1
18568,742,529,0
18576,741,528,0
18579,744,716,0
18604,738,511,1
18611,740,719,0
18693,741,526,1
18726,740,526,1
18768,740,519,0
18800,770,704,1
18819,858,631,0
18855,908,676,0
18906,772,699,1
18945,603,142,1
18947,1235,525,0
18949,775,710,0
19020,700,459,0
19034,742,530,0
19132,775,712,0
19134,742,531,0
19203,808,711,1
19240,773,696,0
19352,774,708,0
19509,1219,520,1
19527,774,677,1
19549,759,717,1
19573,742,532,0
19580,743,533,0
19609,740,525,1
19632,741,529,1
19654,605,143,0
19685,743,534,0
19769,602,142,0
19797,743,535,0
19871,772,702,0
19896,741,530,1
19901,142,633,1
19917,603,141,1
19946,809,711,0
19951,772,706,0
20007,743,536,0
20032,771,704,0
20131,742,533,0
20174,859,632,0
20209,742,534,0
20228,602,141,1
20261,741,718,0
20268,743,537,1
20310,604,143,1
20329,806,713,1
20341,744,714,1
20485,744,538,0
20497,859,631,1
20557,744,539,0
20591,744,713,0
20643,869,358,0
20669,604,140,0
20697,601,141,0
20714,934,668,0
20721,773,700,1
20819,601,140,0
20844,743,538,0
20944,767,707,1
20990,729,710,1
20994,744,537,1
21039,773,680,1
