t,x,y,p
0,508,559,0
57,509,563,0
149,509,562,1
195,509,564,0
214,1236,489,0
296,509,559,1
299,767,699,1
301,751,708,0
439,508,557,0
503,509,565,0
756,510,568,0
762,735,713,1
794,177,537,0
844,752,708,1
857,751,707,0
900,510,569,1
919,510,565,0
967,446,295,0
1001,510,563,0
1039,1036,615,1
1055,510,567,1
1064,510,570,0
1172,510,571,0
1210,499,481,1
1233,508,564,0
1299,799,712,0
1309,767,679,1
1464,510,572,0
1546,509,558,1
1554,506,535,0
1715,568,132,0
1723,853,630,0
1798,506,544,1
1805,766,675,0
1814,755,707,0
1814,1087,577,0
1837,922,628,0
1944,511,575,0
1962,511,574,1
1980,511,572,0
1993,761,707,0
2107,511,576,0
2165,511,573,1
2240,511,577,1
2410,511,578,1
2456,759,706,0
2477,509,568,1
2520,511,579,0
2568,735,719,0
2656,509,569,0
2711,511,580,0
2849,509,570,0
2867,510,573,0
3049,512,581,0
3061,510,576,0
3115,762,705,0
3167,511,571,1
3317,512,582,0
3383,506,550,0
3408,512,584,1
3418,512,583,1
3419,1167,547,1
3484,759,705,1
3590,621,550,0
3675,512,579,1
3686,512,586,1
3741,442,295,0
3769,512,585,0
3769,759,704,0
3796,753,708,1
3846,737,716,1
3848,851,631,1
3862,511,582,0
3950,763,703,0
3955,509,557,0
3977,764,704,1
4079,753,706,0
4162,763,704,0
4173,513,587,1
4179,761,705,0
4257,756,707,0
4257,512,587,1
4292,768,705,1
4392,510,574,0
4455,737,714,0
4467,513,591,0
4549,513,588,1
4684,513,590,0
4718,756,705,1
4718,512,588,0
4719,656,349,0
4724,513,589,0
4768,728,716,0
4769,511,586,0
4844,513,593,0
4877,513,592,0
4936,850,631,0
5170,1176,526,1
5223,513,594,0
5252,799,713,0
5254,800,712,1
5323,513,595,0
5334,510,562,0
5630,767,701,0
5678,767,698,1
5781,514,598,0
5809,514,599,0
5845,514,597,1
5903,514,594,0
5905,767,697,0
6142,514,600,0
6227,514,596,1
6301,514,602,1
6348,750,708,1
6574,732,717,0
6641,622,564,1
6687,515,604,0
6758,515,603,1
6837,515,605,1
6877,761,706,0
6925,514,601,0
6957,305,118,1
6973,515,602,1
7177,769,703,0
7274,515,606,1
7330,853,631,1
7502,515,608,1
7608,530,278,1
7631,761,704,0
7748,765,676,0
7769,515,607,0
7858,516,610,1
7860,516,611,1
7905,735,718,1
7911,515,601,0
7921,750,707,1
7933,1064,590,0
8134,516,612,0
8321,767,680,1
8461,516,614,1
8484,1102,566,0
8649,516,615,1
8655,516,613,0
8728,737,717,0
8731,758,705,0
8732,1270,97,0
8735,802,710,1
8851,517,618,1
8965,516,616,1
9093,516,617,1
9166,733,718,1
9176,272,219,1
9239,517,619,0
9359,515,609,0
9360,517,620,1
9529,517,621,0
9612,515,610,0
9617,748,706,1
9654,517,617,0
9799,796,714,0
9802,749,707,0
9899,517,622,1
10077,517,623,0
10137,623,571,1
10222,757,705,0
10288,760,707,0
10308,758,704,0
10341,754,709,0
10387,757,704,1
10546,518,627,1
10597,770,174,1
10608,518,626,1
10896,758,706,0
11352,729,719,0
11438,518,625,1
11581,802,711,0
11618,518,630,0
11627,519,634,1
11762,519,633,0
12011,519,631,0
12011,1107,271,1
12012,513,603,1
12056,751,708,1
12141,748,707,1
12156,519,636,1
12185,518,628,0
12221,749,709,1
12425,518,629,1
12518,519,630,0
12643,749,706,1
12644,520,638,0
12744,623,576,0
12765,520,637,0
12987,520,639,1
13025,623,579,0
13191,519,635,0
13322,747,706,0
13352,519,637,1
13530,520,643,0
13587,520,636,1
13613,520,644,1
13646,1156,214,1
13655,519,632,0
13666,747,705,1
13725,566,494,0
13931,748,705,0
13950,521,647,0
13963,1266,467,1
14096,520,642,0
14239,521,648,1
14527,521,649,1
14565,520,646,0
14654,521,643,0
14823,522,652,0
14916,521,645,1
15174,522,655,1
15420,336,644,0
15451,522,654,1
15470,522,653,0
15861,597,546,0
15864,521,652,0
15932,636,544,1
16450,624,584,1
16487,748,703,0
16496,523,661,1
16525,519,629,0
16585,748,704,0
16600,760,705,1
16826,522,656,1
16838,523,659,0
16843,624,583,0
16887,803,709,0
16901,624,588,0
16954,767,708,1
16959,747,704,1
16993,523,662,0
17294,748,706,1
17467,524,667,0
17620,624,589,1
17749,749,708,0
17783,523,658,0
18247,524,669,1
18273,524,665,0
18289,748,701,0
18351,940,215,1
18516,524,671,1
18656,747,705,0
18679,525,674,1
18721,756,700,1
19008,747,703,1
19008,524,672,0
19114,748,708,0
19134,624,590,0
19195,524,668,0
19195,525,673,0
19214,525,676,1
19501,524,666,0
19532,756,701,1
19554,526,679,1
19793,749,702,0
19839,748,702,0
19860,1149,543,1
19906,624,591,1
19934,624,592,0
20066,108,178,0
20355,862,88,0
20495,758,698,1
20505,757,699,1
20550,624,593,0
20649,1142,168,1
20735,1257,546,1
20945,746,704,0
21142,749,701,1
21324,1176,582,1
21442,747,702,0
21564,748,705,1
22081,758,699,0
22095,747,706,1
22465,625,598,1
22492,746,705,1
22630,757,698,1
22740,756,699,0
22871,748,703,0
22885,756,698,0
22927,845,633,1
23073,1192,576,1
23198,112,7,1
23284,749,703,1
23329,747,707,1
23329,749,700,0
23464,529,700,0
23651,1188,518,1
23678,625,600,0
23752,747,704,0
23847,748,704,0
23943,529,703,1
24016,528,588,1
24047,747,705,1
24167,625,596,1
24253,762,684,0
24284,422,295,0
24344,625,602,0
24429,750,701,1
24641,757,681,1
24651,757,699,1
24663,674,450,1
24739,625,603,1
24799,757,700,0
24895,756,700,0
25030,750,700,1
25205,757,678,1
25273,748,701,0
25336,705,710,0
25434,748,702,1
25453,1226,493,1
25522,751,700,1
25525,758,697,1
25582,683,698,0
25631,625,601,1
25633,754,697,0
25644,1098,129,1
25702,759,698,1
25732,421,296,0
25914,625,605,1
25933,110,427,0
26018,752,700,1
26037,756,702,1
26132,747,703,1
26178,624,594,1
26240,760,698,0
26371,756,680,0
26460,756,701,0
26566,757,697,0
26772,749,701,0
26792,625,606,1
26872,625,607,0
26955,626,603,0
26968,746,703,0
27107,759,696,0
27139,544,246,1
27170,626,608,1
27233,748,706,1
27326,1044,484,1
27420,747,702,0
27480,755,700,0
27535,749,702,0
27560,626,606,0
27714,757,677,0
27894,756,699,0
28001,759,697,1
28218,1239,485,1
28348,756,679,1
28466,758,698,0
28470,626,611,0
28570,756,681,1
28752,626,612,1
28801,844,632,0
29068,722,707,0
29161,761,696,0
29558,1171,530,0
29565,757,682,1
29678,747,704,0
29702,749,700,1
29715,746,704,0
29716,760,696,0
29825,747,705,1
29876,751,701,1
