t,x,y,p
0,386,530,0
5,341,291,1
359,388,545,0
361,341,292,1
411,821,433,1
430,387,535,1
439,821,432,0
453,341,293,0
471,1164,562,1
506,815,410,0
522,341,294,0
561,821,431,1
604,543,539,1
621,341,295,1
622,819,420,1
719,822,435,1
770,821,429,0
796,821,430,1
852,388,550,0
899,341,296,0
913,340,285,1
996,387,542,1
998,822,436,0
1049,388,546,1
1088,822,434,1
1100,543,540,0
1187,341,298,0
1205,965,81,0
1301,823,437,1
1342,388,547,0
1342,388,551,0
1387,341,297,1
1394,822,437,0
1481,341,299,1
1514,823,439,1
1536,542,540,1
1593,823,438,0
1596,341,300,0
1664,341,301,0
1676,822,438,0
1682,822,433,0
1811,389,557,1
1814,340,231,1
1826,823,441,0
1843,823,440,1
1880,388,549,1
1915,820,431,0
1949,734,712,0
1996,923,30,0
2000,824,443,1
2073,388,548,0
2145,819,426,1
2176,542,541,1
2238,341,304,1
2240,341,303,1
2264,341,302,0
2282,824,444,0
2402,821,435,0
2419,824,445,0
2461,389,559,1
2515,341,305,0
2646,389,560,0
2704,825,447,1
2705,852,624,0
2735,823,442,1
2764,387,550,0
2775,341,306,1
2825,341,307,0
2905,530,2,0
2950,821,434,0
2958,825,446,1
2960,531,0,1
2973,531,1,1
2988,542,542,1
2995,535,1,1
3000,825,448,0
3010,530,0,0
3030,530,1,1
3032,534,0,1
3033,531,2,0
3035,532,0,1
3043,533,1,1
3046,824,446,1
3049,389,558,1
3077,532,2,0
3092,825,449,0
3097,536,0,0
3116,533,0,0
3123,532,3,1
3131,824,442,1
3137,532,1,0
3144,534,3,1
3149,341,308,1
3160,536,1,0
3168,530,4,0
3181,389,561,1
3193,534,1,0
3213,532,4,0
3215,536,2,1
3216,536,3,1
3216,341,309,0
3218,534,4,0
3246,535,0,0
3257,825,445,1
3269,533,2,0
3273,824,448,1
3281,826,451,1
3292,532,5,1
3304,529,1,0
3336,536,4,0
3375,537,4,1
3377,341,310,0
3378,535,2,1
3381,535,6,1
3382,826,452,1
3398,531,3,0
3405,534,2,1
3408,531,4,1
3412,537,3,1
3412,530,3,1
3428,535,4,1
3442,536,7,0
3476,535,3,1
3476,533,5,0
3483,530,5,0
3511,542,543,0
3512,531,7,0
3512,531,5,1
3535,532,6,1
3543,530,6,0
3551,534,7,1
3560,535,5,1
3563,533,3,0
3567,536,9,0
3568,537,6,1
3569,531,8,0
3576,537,0,0
3584,536,5,0
3595,826,453,1
3596,531,6,0
3597,536,6,0
3610,537,5,0
3614,533,9,0
3622,534,5,0
3624,535,10,0
3631,533,7,0
3635,532,10,1
3640,341,311,0
3654,537,9,0
