t,x,y,p
0,763,705,1
120,759,708,0
224,1157,545,0
321,1172,543,0
364,769,703,0
393,1075,563,1
940,687,644,0
1413,771,699,1
1754,772,676,0
1859,763,709,0
1904,771,698,0
1961,772,698,1
2006,773,700,1
2054,769,706,1
2138,872,683,0
2142,1114,585,1
2242,771,701,0
2253,768,704,0
2286,858,630,0
2288,1162,564,0
2529,1158,550,1
2598,765,707,1
2673,770,683,0
2728,764,706,1
2871,772,703,0
3068,1259,273,0
3080,802,714,0
3186,772,701,0
3272,762,704,0
3590,734,716,1
3649,743,716,0
3761,767,684,1
4189,770,706,0
4249,1165,515,0
4480,1007,639,0
4725,773,699,1
4900,859,630,0
4979,81,362,0
5017,1113,581,0
5092,774,701,0
5181,773,702,1
5237,772,696,0
5416,1089,601,0
6080,512,79,1
6329,771,704,0
6347,694,350,1
6527,758,708,0
6682,824,511,0
6831,705,577,0
6832,772,699,0
6969,806,712,1
7005,1158,549,1
7290,146,433,0
7372,774,704,0
7692,773,704,0
7767,859,628,0
7886,773,677,0
7954,772,700,0
8135,859,629,0
8264,855,635,1
8282,762,706,0
8314,1113,577,0
8847,743,715,0
9059,1100,464,0
9195,771,702,1
9845,465,390,1
10076,773,703,0
10178,766,713,0
10222,773,697,1
10323,806,713,1
10432,1050,572,0
10743,859,626,0
10744,896,664,1
10884,859,627,0
10906,772,697,0
11141,858,632,1
11506,859,632,1
11544,773,679,0
11678,772,702,1
11687,771,698,1
11710,769,697,1
12265,857,630,0
12298,705,466,1
12387,859,631,0
12474,769,696,1
12565,772,698,1
12736,805,713,1
13231,769,698,1
13390,773,698,0
13560,1216,576,0
13638,770,698,1
13676,1113,518,0
13708,19,567,1
13906,773,678,0
13941,742,713,1
14276,771,697,0
14697,801,715,1
15091,743,717,1
15111,743,714,0
15541,1080,572,1
15551,773,676,0
15573,1164,565,0
15660,774,699,0
15893,920,170,0
16004,760,699,0
16289,771,699,0
16300,772,709,0
16307,743,713,1
16702,169,338,0
16703,771,700,0
16734,745,27,1
16943,761,700,0
17062,1133,515,0
17494,860,628,0
17547,1163,566,1
17553,1056,593,0
17593,758,700,1
17922,761,699,1
18046,768,709,1
18324,770,691,0
18602,742,712,1
18845,605,220,0
19063,770,697,0
19132,760,700,1
19248,137,510,0
19376,770,696,1
19766,341,428,0
20605,768,696,1
20678,767,697,1
20862,771,698,0
20979,759,699,0
20998,768,697,1
21777,1102,716,0
21870,932,663,1
21984,770,695,0
22225,335,202,0
22440,774,700,0
22492,768,695,0
22553,765,698,1
22608,773,700,0
22849,766,697,1
22909,773,696,0
22939,757,699,0
23013,762,700,1
23357,766,696,0
23451,772,697,1
23479,767,698,0
23586,773,675,1
23624,769,697,0
23658,771,696,0
23737,759,700,1
23911,769,696,0
24006,767,696,1
24118,741,711,1
24217,760,699,0
24292,772,675,1
24295,757,700,0
24375,762,699,1
24484,756,700,1
24514,765,695,1
24575,640,629,0
24754,740,711,1
24757,765,697,0
25337,860,630,1
25438,764,698,1
25603,772,696,0
25748,1163,508,1
25885,772,674,0
25894,769,695,0
25902,1273,539,0
26033,771,674,0
26252,758,700,1
26383,764,697,0
26456,756,701,1
26544,755,702,1
26678,769,694,1
26901,770,697,1
27060,774,697,1
27064,765,696,1
27137,768,698,0
27203,761,700,1
27653,761,699,0
27679,757,699,0
27744,1218,514,0
27860,770,696,1
28006,770,673,1
28080,771,697,1
28145,758,698,1
28166,770,674,0
28356,757,701,1
28398,759,698,1
28578,110,427,0
28592,755,701,0
28667,766,698,1
28672,767,695,1
29630,755,700,1
29697,774,677,1
29740,760,698,1
29882,754,701,1
