t,x,y,p
0,1169,515,0
42,765,705,1
69,772,701,1
128,1161,553,1
201,801,712,1
240,773,701,0
283,755,705,0
288,737,718,1
335,756,704,1
506,740,718,1
510,756,705,0
600,853,632,0
612,736,718,0
671,757,705,0
687,757,708,0
751,766,681,1
826,807,711,1
826,801,711,0
838,757,706,0
876,851,629,0
920,906,674,0
940,770,708,1
963,735,717,0
988,770,705,0
1044,741,718,1
1059,769,704,1
1143,766,703,1
1182,759,709,1
1197,760,708,0
1279,759,706,0
1289,759,707,1
1334,751,705,1
1486,740,715,1
1532,1187,261,1
1576,736,717,0
1653,755,704,1
1708,807,710,1
1741,771,704,1
1771,758,706,1
1792,805,711,0
1871,1077,602,0
1902,769,682,0
1981,758,708,1
2027,1166,517,0
2064,559,418,0
2068,916,632,1
2194,768,682,1
2220,803,712,1
2227,1164,503,1
2251,1117,583,1
2288,756,706,1
2385,1162,558,1
2435,739,718,0
2483,755,707,1
2553,767,681,1
2555,757,704,0
2565,742,717,1
2642,759,705,0
2670,767,703,0
2674,768,702,0
2693,767,704,1
2710,769,708,0
2782,767,707,0
2847,761,707,1
2876,768,706,0
2882,761,706,0
2896,757,707,1
2939,770,702,1
2981,766,704,1
3008,1126,20,0
3012,802,711,1
3234,765,681,0
3238,769,703,0
3413,1074,595,1
3452,738,719,1
3496,760,707,1
3608,765,702,1
3623,770,701,0
3638,1172,536,1
3664,754,703,1
3791,767,682,1
3812,770,703,0
3862,1160,551,1
3865,772,681,1
3932,690,293,0
3960,914,629,0
3961,1156,538,0
4047,737,714,0
4122,858,632,0
4272,772,680,0
4286,763,707,1
4342,741,719,0
4361,1076,561,0
4418,762,705,0
4452,763,704,1
4526,767,702,0
4550,771,703,0
4601,765,704,0
4654,759,706,0
4675,770,706,1
4685,763,706,1
4694,760,709,1
4702,1068,586,0
4790,739,719,1
4830,770,704,0
4921,769,702,0
4954,773,703,0
4968,743,716,0
4997,856,633,1
5000,757,705,1
5112,738,715,1
5150,772,702,0
5269,853,631,1
5273,859,659,1
5298,692,266,1
5332,805,712,0
5448,767,680,0
5448,771,701,1
5480,758,707,1
5488,761,705,1
5514,738,718,0
5517,756,707,0
5523,770,682,1
5529,768,705,0
5535,1175,550,0
5553,1171,539,0
5553,765,703,0
5590,914,631,1
5663,1164,510,0
5674,858,630,1
5716,760,706,1
5855,766,703,1
5867,853,630,1
5881,769,681,1
5956,1042,610,0
5957,851,627,1
5963,771,682,1
5978,855,632,0
5988,773,702,0
6008,766,702,0
6061,851,630,1
6188,1156,539,0
6293,801,713,1
6321,768,703,0
6542,857,632,0
6586,771,706,0
6600,764,703,1
6611,852,630,0
6620,764,680,1
6622,1074,559,0
6645,768,704,0
6656,768,708,0
6659,763,705,0
6691,759,708,0
6716,854,633,0
6719,915,632,0
6799,1164,563,0
6834,758,705,0
6846,760,705,0
6909,768,681,0
6930,850,630,0
6940,1072,592,0
7017,734,715,1
7043,772,703,1
7113,735,717,0
7155,756,705,0
7187,759,707,1
7238,1112,575,0
7262,769,705,1
7372,804,713,0
7447,411,237,1
7657,763,708,0
7717,1162,549,0
7727,853,629,1
7777,753,703,1
7790,806,712,1
7809,1163,563,0
7813,762,706,1
7824,1220,516,0
7844,854,632,1
7910,734,716,1
7912,758,706,0
7997,755,703,1
8040,857,631,1
8065,741,717,0
8074,1071,590,0
8084,766,704,1
8095,765,708,0
8279,1057,593,0
8296,859,631,0
8300,736,718,0
8301,767,705,1
8306,758,709,1
8322,855,633,0
8360,764,706,1
8571,764,708,0
8597,804,712,1
8616,1113,569,0
8650,767,703,1
8735,772,704,1
8767,1176,542,0
8793,1077,601,0
8802,773,705,1
8842,735,718,0
8902,737,718,0
8906,806,711,0
8960,765,680,1
9007,647,436,1
9028,1157,543,0
9077,1013,618,0
9090,756,704,0
9104,771,702,1
9186,855,631,1
9296,765,706,1
9329,755,705,0
9363,1161,556,0
9398,773,679,0
9401,767,711,0
9418,754,704,1
9494,742,718,0
9555,771,708,0
9615,1166,514,1
9617,1073,592,1
9618,1162,560,0
9680,798,712,0
9699,1116,579,1
9728,852,631,0
9843,766,703,1
9851,769,678,0
9856,740,719,1
9864,757,706,0
9883,767,704,0
9884,853,632,1
9957,755,708,1
9962,755,704,0
10063,766,705,1
10105,761,709,0
10136,1178,552,1
10140,859,630,1
10227,762,704,1
10258,758,707,1
10303,762,707,1
10316,769,703,1
10382,851,631,1
10399,1075,592,1
10436,769,704,0
10470,733,715,0
10489,741,718,0
10494,809,710,0
10533,766,682,1
10538,1165,563,0
10543,756,703,0
10552,771,681,0
10681,807,711,1
10688,856,632,1
10771,757,705,0
10819,766,708,0
10860,1077,561,1
10879,803,713,1
10883,765,714,1
10884,768,707,0
10929,858,631,1
10994,803,712,0
11047,769,682,1
11122,759,705,1
11132,774,707,1
11181,765,711,1
11296,737,719,0
11299,808,710,0
11309,740,718,1
11487,96,550,0
11509,565,355,0
11623,802,713,0
11956,766,710,1
12014,764,702,0
12150,1220,521,0
