t,x,y,p
0,748,704,1
99,412,172,1
109,412,170,0
140,844,630,1
215,870,246,0
229,748,705,1
329,873,244,0
331,869,247,1
614,746,704,0
646,412,173,1
736,756,680,0
838,748,702,1
926,756,699,1
1248,748,701,0
1299,750,701,1
1353,749,702,0
1406,412,172,1
1465,411,174,0
1548,750,700,1
1670,868,247,1
1691,411,175,1
1950,748,703,0
2083,411,173,0
2085,867,247,0
2121,747,706,1
2166,1073,67,1
2178,750,625,0
2188,747,705,0
2207,757,677,0
2232,411,176,1
2503,756,698,0
2770,868,243,1
2803,844,633,1
2886,746,705,0
2953,727,719,0
2994,865,245,0
3038,412,174,0
3128,410,177,1
3211,411,177,1
3361,1067,567,0
3373,410,178,1
3460,757,697,1
3466,410,176,0
3603,757,698,0
3727,730,717,1
3746,757,702,0
3801,410,179,0
3810,735,714,1
3836,867,246,0
3915,757,699,0
4012,749,706,1
4147,862,246,0
4173,746,703,1
4202,747,701,1
4237,844,631,0
4413,747,704,0
4455,757,678,0
4458,759,698,0
4472,410,180,0
4674,756,679,1
4692,756,678,1
4730,749,701,0
4886,409,180,0
4888,864,248,1
4917,756,702,1
4946,409,181,0
4995,409,179,0
5169,747,707,1
5246,758,699,0
5299,758,697,1
5464,409,182,0
5741,865,248,1
5782,1269,29,1
5815,758,683,1
5861,757,701,1
5989,409,183,1
6076,756,701,1
6129,864,247,1
6290,746,707,0
6338,748,706,0
6348,801,239,0
6410,746,706,1
6455,756,680,0
6471,408,183,1
6502,408,184,0
6509,747,702,1
6570,749,700,0
6661,860,247,0
6698,747,703,0
6723,748,701,0
6740,746,702,0
6783,865,249,1
6912,748,702,1
6928,408,185,1
6950,860,251,0
6952,751,700,0
7049,756,699,0
7140,843,631,0
7228,844,632,1
7234,756,700,1
7302,846,627,0
7353,748,704,1
7359,755,699,1
7359,727,715,1
7526,408,186,0
7632,748,700,1
7919,726,715,0
7944,726,716,0
8072,792,714,0
8094,793,710,0
8155,407,186,0
8160,407,187,0
8420,747,705,0
8517,407,188,1
8581,793,712,1
8589,748,705,0
8590,728,713,1
8622,748,707,1
8811,746,704,0
8954,408,187,1
8960,751,701,0
8998,726,717,1
9055,758,698,1
9154,407,189,0
9161,758,696,0
9226,793,713,0
9305,758,676,1
9390,406,188,0
9564,844,628,0
9714,859,252,1
9839,748,703,0
9880,406,190,0
9988,407,190,1
10034,759,697,0
10041,754,697,0
10234,406,191,1
10458,758,675,0
10708,406,192,1
10712,857,253,0
10752,757,699,1
10819,855,253,0
11157,858,251,0
11192,844,629,1
11329,755,700,1
11390,406,193,0
11395,747,706,1
11410,858,252,0
11456,756,682,0
11538,747,708,1
11627,405,193,1
11689,405,194,0
11701,746,705,1
11752,747,701,0
11816,856,252,1
11844,392,44,0
11860,756,698,1
11869,843,630,1
11874,794,709,1
11878,759,696,1
12015,749,702,1
12030,756,681,1
12106,406,189,1
12153,405,195,1
12189,855,252,1
12202,757,700,0
12227,759,675,0
12293,750,701,0
12446,748,701,0
12549,747,704,1
12573,749,701,1
12691,405,196,0
12704,747,702,1
12850,846,626,0
13008,756,699,0
13075,757,698,1
13170,760,697,0
13217,621,667,1
13218,757,676,0
13250,750,700,0
13292,727,714,0
13338,727,718,1
13389,404,196,1
13503,752,700,1
13581,404,197,1
13608,405,197,1
13628,756,677,1
13806,752,701,1
13833,404,198,1
13883,745,704,0
13967,1024,647,0
14016,746,704,1
14072,113,470,1
14116,843,629,0
14123,747,703,1
14234,759,698,0
14242,736,132,0
14282,404,199,0
14397,795,708,1
14412,760,696,1
14416,735,132,1
14500,757,677,0
14623,845,626,0
14646,748,702,1
14657,1044,567,0
14704,755,696,0
14876,404,200,0
14896,761,697,0
14928,525,527,1
14937,726,716,0
14961,756,679,0
15016,729,711,1
15093,736,133,1
15098,751,699,0
15109,758,697,1
15153,756,700,1
15174,749,700,1
15199,403,200,1
15338,756,678,0
15355,844,627,1
15359,11,37,0
15364,755,695,1
15465,403,201,0
15801,403,202,1
15859,403,199,1
15867,750,699,0
15885,727,713,0
15965,760,698,0
16014,850,254,1
16312,403,203,0
16474,756,697,0
16515,850,256,0
16547,752,699,1
16552,794,713,0
16700,436,72,1
16843,747,700,1
16849,403,202,1
