t,x,y,p
0,761,704,1
64,764,704,0
184,1073,629,0
325,773,523,0
652,760,705,1
912,1165,537,0
953,756,706,0
1040,745,76,0
1244,762,705,0
1257,765,704,1
1320,481,167,1
1574,751,708,0
1749,536,526,0
1875,835,499,0
1951,765,700,1
2100,753,708,1
2106,752,707,1
2114,760,704,1
2269,1029,647,1
2446,763,705,1
2579,1257,474,1
2954,1184,519,0
3054,480,167,1
3211,765,697,1
3240,1197,513,0
3252,759,705,1
3355,751,707,1
3681,1178,527,0
3784,766,701,1
3911,1102,430,1
3916,759,704,1
4139,758,706,1
4173,760,706,0
4224,1048,590,0
4283,742,708,1
4318,1126,20,1
4335,763,704,1
4413,754,708,1
4467,1205,508,1
4516,751,694,0
4576,1033,609,1
4580,1208,504,0
4649,764,705,0
4737,765,705,0
4773,761,705,0
4908,756,705,1
5001,754,709,1
5219,1092,620,1
5248,764,703,1
5355,756,707,0
5636,1208,509,1
5652,766,703,0
5666,759,706,0
5739,1266,468,1
5781,742,75,1
5902,1278,466,1
6123,1105,570,0
6256,761,706,0
6357,996,513,0
6426,762,706,1
6562,1155,563,0
6665,763,706,1
6670,1232,4,1
6716,1184,521,1
6783,800,712,1
6866,754,706,1
6879,765,702,1
7229,1272,464,1
7323,754,707,1
7396,1075,629,0
7670,762,703,1
7734,766,680,0
7735,1149,545,0
7794,757,706,0
7835,908,632,1
7972,1173,530,1
8129,766,700,1
8213,754,711,1
8310,1152,553,0
8315,710,531,0
8442,1232,490,0
8445,1195,516,0
8473,1187,519,0
8498,1155,550,0
8638,755,707,0
8674,764,699,0
8695,796,714,0
8989,752,709,1
9100,1224,496,1
9147,1277,459,1
9731,765,703,0
9745,1195,517,0
9832,1277,466,0
9943,765,699,0
9953,1164,533,0
10035,799,713,1
10157,1219,500,0
10222,1216,567,1
10577,756,704,0
10683,755,706,0
10828,623,681,1
11310,554,487,0
11316,762,707,1
11464,909,628,1
11726,753,709,0
12167,766,676,0
12470,765,682,0
12501,1262,654,1
12597,766,679,1
12973,768,702,1
12976,548,375,0
13130,1267,542,1
13195,476,168,1
13203,755,708,0
13236,767,678,0
13332,735,719,1
13452,1258,6,0
13477,1279,469,1
13534,1244,654,0
13776,764,682,0
13876,1066,560,1
14002,765,681,0
14088,765,701,1
14096,540,95,1
14208,831,166,0
14242,1209,508,1
14429,743,704,1
14808,579,381,1
14815,474,63,1
14816,1169,586,1
14861,1153,550,1
14875,1063,239,1
14887,1225,498,1
14903,764,698,0
14936,734,719,1
14994,623,693,0
15000,1213,527,1
15092,852,630,1
15204,1152,547,0
15344,475,168,1
15516,851,633,0
15557,1274,522,0
15805,1076,560,0
15854,1212,518,0
15995,960,647,1
16405,1276,464,1
16468,841,585,1
16506,766,699,1
16697,861,633,0
16764,743,698,1
16957,1211,506,1
17086,767,701,1
17156,304,664,0
17297,766,704,0
17494,1255,553,0
17573,804,0,0
17639,864,167,1
17703,805,0,1
17712,804,1,0
17721,1129,604,0
17725,803,0,0
17743,1252,553,0
17769,805,1,1
17891,805,2,1
17906,804,2,0
18017,805,3,0
18049,736,717,1
18116,805,4,0
18127,806,3,1
18205,806,4,1
18239,804,3,1
18307,806,5,1
18328,806,2,1
18459,805,5,0
18480,1191,518,1
18482,806,6,1
18498,806,1,1
18549,807,5,0
18554,807,6,0
18636,807,7,0
18650,806,7,1
18694,736,701,1
18709,767,703,1
18762,807,8,1
18873,806,8,0
18903,807,9,1
18903,808,8,1
18929,807,4,0
18971,808,9,1
19053,807,10,1
19081,808,10,1
19096,96,683,0
19200,808,11,1
19308,626,703,1
19330,808,7,1
19344,808,12,1
19345,809,11,1
19411,809,10,0
19416,809,12,1
19424,807,11,1
19424,808,13,1
19476,807,3,1
19507,809,13,0
19512,806,9,1
19598,809,9,1
19641,809,14,0
19691,1105,578,0
19697,810,13,1
19739,809,15,1
19745,803,1,1
19761,810,14,0
19828,808,14,1
19845,810,15,1
19944,809,16,1
19950,810,16,0
19982,1162,533,1
20012,849,634,1
20065,805,6,0
20072,810,17,0
20161,811,16,1
20170,809,17,0
20195,811,17,1
20198,765,698,0
20280,811,18,0
20305,810,18,1
20372,625,695,1
20374,1217,499,0
20416,1046,592,1
20419,811,19,1
20443,810,19,0
20504,812,19,1
20562,811,14,0
20581,811,20,0
20617,812,20,0
20681,811,21,0
20709,812,21,0
20761,1104,570,1
20761,810,12,0
20786,812,22,1
20792,1253,552,0
20804,811,22,1
20811,765,700,0
20901,812,23,1
20911,810,20,1
20916,472,167,1
20942,472,168,0
20947,813,22,1
20985,812,18,1
21020,942,651,1
21024,813,21,0
21053,813,23,1
21061,736,716,0
21135,813,24,0
21146,812,24,1
21195,812,25,1
21266,766,678,0
21270,813,25,0
21302,1243,488,0
21311,811,15,1
21371,1116,6,1
21392,814,25,1
21398,814,24,1
21409,813,26,1
21418,533,685,0
21456,814,26,0
21457,811,23,1
21492,813,27,1
21557,814,27,0
21566,807,12,0
21649,814,28,0
21722,809,18,1
21743,813,28,1
21786,815,28,0
21843,815,27,0
21862,814,29,0
21871,815,29,0
21917,814,30,1
21958,815,30,1
22048,808,15,0
22100,853,627,0
22102,815,31,1
22163,736,714,0
22182,816,30,1
22198,627,709,0
22220,816,31,0
22269,816,32,0
22285,815,32,1
22325,814,31,1
22335,812,26,0
22356,815,33,1
22373,544,375,0
22384,816,33,0
22427,816,29,1
22444,816,34,1
22583,817,33,0
22584,1274,103,0
22616,816,35,1
22619,817,34,0
22682,815,26,1
22718,817,35,1
22749,1087,353,0
22773,815,34,0
22810,736,715,0
22811,1102,569,0
22820,816,36,1
22830,817,36,0
22888,626,708,1
22936,817,37,0
22974,733,717,1
23018,818,36,0
23048,817,32,0
23048,818,37,1
23051,818,35,0
23106,816,37,0
23114,817,38,0
23119,1234,494,0
23145,818,38,1
23209,766,682,0
23231,817,39,1
23246,814,23,0
23247,818,39,1
23354,818,40,1
23375,819,39,1
23384,819,38,1
23465,819,40,0
23492,818,41,1
23552,735,718,1
23581,818,42,1
23590,819,41,0
23653,815,35,0
23706,819,42,1
23759,819,43,1
23777,820,41,0
23804,820,42,1
23836,819,44,1
23857,817,40,0
