t,x,y,p
0,822,228,1
7,613,11,0
55,713,509,0
62,1252,561,1
181,713,512,0
422,822,229,1
492,712,511,1
587,821,227,1
626,777,700,1
674,713,513,1
702,777,697,1
737,1194,666,1
773,778,696,1
1164,777,701,0
1298,1119,709,0
1505,777,702,0
1518,744,713,0
1630,713,514,0
1924,823,232,1
1951,714,515,0
1974,823,233,0
1993,714,516,1
2000,713,515,0
2204,715,515,0
2345,1100,559,1
2406,714,517,0
2424,823,234,1
2490,714,514,1
2532,713,516,0
2671,776,701,0
2845,374,391,1
2864,714,518,0
3102,824,236,0
3333,777,698,1
3339,715,519,1
3409,778,701,0
3581,715,520,0
3617,776,699,0
3712,715,518,0
3722,613,519,0
3728,1261,651,0
3814,3,714,0
3892,714,519,1
3963,1194,548,1
4130,715,517,0
4213,715,521,0
4261,776,697,0
4376,825,239,1
4400,716,518,1
4431,825,238,0
4444,825,240,1
4505,781,691,0
4510,777,695,0
4521,716,519,0
4536,778,700,1
4536,716,522,0
4544,777,696,0
4657,1140,709,0
4820,1126,20,0
4847,715,522,0
5004,716,521,1
5198,825,241,1
5262,767,705,1
5266,826,242,0
5519,42,6,1
5562,715,523,0
5582,716,524,0
5627,766,705,0
5646,716,523,1
5688,776,702,1
5768,767,704,1
5878,826,244,1
6031,776,700,0
6039,826,243,1
6054,715,525,0
6082,775,701,1
6102,716,525,0
6123,827,245,1
6136,827,246,0
6162,826,241,1
6242,1218,537,0
6297,715,524,1
6391,716,526,0
6692,1204,52,0
6696,775,702,0
6699,827,247,0
6958,768,704,0
6971,766,706,0
7027,717,527,0
7074,778,697,0
7165,778,699,0
7192,779,700,0
7197,717,526,1
7218,828,248,0
7304,827,248,0
7332,14,716,0
7372,717,528,1
7435,716,527,0
7498,778,698,1
7662,777,699,1
7663,716,528,0
7677,828,249,0
7720,717,529,1
7776,715,526,1
7794,767,703,0
7805,828,250,0
7894,717,525,0
7995,828,251,1
8044,775,703,1
8256,717,530,1
8493,768,703,1
8654,827,249,0
8662,1132,542,0
8754,829,252,0
8838,718,530,1
8863,829,253,0
8906,717,531,1
8942,718,531,1
8948,718,532,0
9019,828,252,1
9085,774,704,1
9096,829,254,1
9361,718,533,0
9594,718,528,1
9600,840,314,0
9696,830,255,1
9755,829,255,1
9821,931,651,1
9830,717,532,1
9898,718,534,0
9922,719,532,0
10032,830,256,1
10034,776,698,1
10055,864,630,1
10090,830,257,0
10341,1220,487,1
10480,830,258,0
10588,718,535,0
10606,719,535,1
10670,719,534,0
10795,610,12,0
10811,612,12,0
10822,719,536,0
11046,774,702,0
11066,831,259,0
11078,831,260,0
11143,719,537,0
11145,776,703,1
11248,831,258,1
11274,718,536,0
11415,611,13,0
11506,831,261,1
11602,830,259,0
11686,719,538,0
11852,780,699,0
11879,718,537,1
11897,772,388,0
11947,774,703,0
12041,766,704,0
12104,832,263,0
12107,831,262,1
12159,799,701,0
12184,1170,561,1
12215,856,696,1
12256,832,262,0
12265,905,678,0
12321,720,539,0
12321,778,676,0
12367,773,704,0
12368,832,264,1
12381,777,700,0
12409,719,539,0
12433,720,540,1
12605,777,703,1
12654,773,702,0
12667,780,702,0
12693,718,538,0
12694,812,709,0
12726,777,701,0
12749,1157,507,0
12756,719,540,0
12757,1232,660,1
12781,610,13,1
12801,832,265,0
12821,720,538,1
12904,720,541,0
13061,609,12,0
13148,1002,612,0
13316,720,542,0
13316,833,265,1
13339,833,266,1
13365,833,267,0
13496,743,715,0
13664,832,266,0
13670,628,409,1
13754,748,716,0
13787,765,706,0
13802,779,698,1
13922,1159,702,1
13937,720,543,0
13939,767,706,1
13951,811,708,1
13956,833,268,0
14087,833,269,1
14198,721,542,1
14202,1021,606,0
14386,834,269,1
14422,814,506,0
14446,773,703,0
14569,721,544,1
14668,834,270,0
14669,721,543,0
14696,1146,695,1
14709,722,544,1
14752,720,544,1
14789,721,540,0
14802,721,545,1
14835,834,271,0
15116,1161,703,1
15120,721,546,1
15189,834,272,1
15194,609,11,1
15229,454,161,0
15336,1203,531,0
15609,776,702,1
15682,721,547,0
15897,819,710,0
15900,367,257,1
15944,1172,561,0
15956,835,272,0
16034,768,705,1
16141,722,547,0
