t,x,y,p
0,1156,432,1
1,901,111,0
2,1272,696,0
3,1279,493,0
3,417,219,1
4,1125,289,0
4,453,396,0
5,383,37,1
5,1140,226,1
5,442,226,1
7,1271,492,0
7,1217,471,1
8,470,21,1
9,708,167,1
11,1028,286,0
13,219,39,0
14,1130,564,0
14,1265,384,0
14,1187,604,1
15,973,697,1
17,1106,597,0
19,1160,268,0
20,681,253,0
21,271,151,0
22,509,75,1
22,1125,260,1
23,1179,465,0
24,1147,628,1
24,323,612,1
25,535,47,1
25,467,263,1
25,1256,404,1
29,1002,625,0
29,279,24,1
29,1155,558,1
29,183,186,1
29,1259,515,1
29,1272,668,0
30,680,258,0
30,935,577,1
32,181,641,0
32,1212,416,0
32,580,227,1
33,340,7,0
33,1122,293,0
33,50,437,0
34,1124,72,1
34,1181,673,0
34,25,5,1
34,214,700,1
34,488,382,0
35,1210,582,0
39,973,556,1
39,479,415,0
39,119,229,1
40,1104,381,0
41,884,603,1
44,1225,512,0
45,1258,68,0
45,1032,10,1
46,1200,431,0
46,1085,639,0
46,163,630,1
47,183,213,1
47,186,210,1
47,541,76,1
48,1053,540,1
49,1207,252,0
51,914,704,0
52,1049,349,0
53,1022,593,0
53,955,251,1
53,580,203,0
55,1249,447,0
57,530,17,1
57,769,42,0
57,1006,341,0
57,503,308,1
58,178,223,1
58,1124,242,1
58,893,367,0
58,22,402,1
58,176,225,0
59,681,252,0
59,1152,549,0
59,290,148,0
59,1142,589,0
60,1223,395,1
61,520,206,1
61,169,21,0
61,53,139,1
61,467,386,1
62,480,421,1
62,1183,323,1
62,379,36,1
63,769,649,1
65,975,448,0
66,1242,362,0
66,857,297,1
66,185,209,1
67,26,395,0
68,1148,587,0
68,468,385,1
68,974,626,0
70,1143,227,1
71,1041,272,0
71,1227,24,0
71,1167,454,1
72,1259,201,0
74,1073,216,1
75,776,184,0
75,180,196,1
75,1059,537,1
76,1260,277,1
76,654,375,1
76,243,245,1
78,1260,680,0
79,450,417,1
80,1096,599,0
81,997,188,0
82,1186,622,1
83,412,13,0
83,108,293,0
84,468,396,0
84,1149,347,0
84,284,37,1
87,991,634,0
88,942,356,0
89,1137,436,0
89,542,0,0
90,151,448,1
90,549,17,1
93,1189,384,1
94,981,620,0
94,763,368,0
95,206,4,0
96,1193,573,0
98,876,565,0
100,1202,524,1
100,1101,366,1
101,1242,361,0
101,697,260,0
102,1263,30,0
102,534,95,0
102,27,253,1
103,684,268,0
103,677,257,0
105,1247,511,1
107,994,223,1
108,463,411,1
108,155,601,0
108,1257,404,1
109,1207,27,0
109,997,492,0
109,1198,357,0
109,1142,458,0
110,460,15,1
110,209,39,1
111,436,710,1
111,1243,376,1
111,709,216,1
111,19,383,0
112,266,22,0
112,1186,580,0
112,401,61,0
113,374,251,0
113,387,59,1
114,82,512,1
114,1121,489,0
115,1262,6,1
115,62,250,0
116,958,700,1
116,474,51,1
117,1199,660,1
117,872,632,0
119,292,5,1
121,1274,491,0
122,1017,315,1
122,1165,672,1
123,130,563,0
124,451,384,1
125,1111,255,0
125,1105,654,1
125,1000,592,1
126,1011,332,1
129,1196,343,1
130,310,262,0
131,1230,515,0
133,483,422,0
133,1202,510,0
134,1198,462,1
136,1154,435,1
136,522,79,1
137,211,22,0
138,464,408,0
138,1038,615,0
138,425,430,0
139,1033,712,1
140,473,387,0
141,1272,646,0
141,493,217,1
141,778,7,1
141,571,277,0
141,1166,425,1
141,472,386,0
142,1116,68,0
143,1154,604,0
144,13,288,1
145,443,357,1
146,1165,555,1
146,1172,420,1
146,1089,504,0
147,173,624,0
147,1046,472,1
147,1279,411,1
148,921,714,1
149,155,65,1
149,1229,383,0
149,92,506,0
151,270,242,1
151,311,252,0
152,1133,717,1
152,6,355,0
153,200,12,0
155,815,71,1
155,143,598,1
156,1253,534,0
157,463,412,1
157,1135,656,1
158,893,611,0
158,475,417,0
159,235,176,1
160,1087,647,0
160,265,283,0
161,1064,503,0
161,1163,527,1
161,988,527,1
163,818,627,0
164,1222,389,0
165,979,671,0
165,1188,634,0
166,157,254,0
166,1079,687,0
168,918,73,1
169,633,255,0
171,513,10,1
171,1172,450,1
173,648,74,1
173,236,251,1
174,1181,667,0
174,920,48,1
175,84,3,1
175,288,232,1
175,121,232,1
176,1231,622,1
177,994,302,0
178,1177,505,1
180,1035,215,0
181,284,241,0
182,1014,28,0
182,1127,492,1
183,490,0,0
183,398,6,1
183,348,127,1
184,514,55,0
185,259,552,1
186,1241,388,0
186,1016,556,0
187,521,202,1
188,1077,678,1
188,956,217,1
188,1119,706,1
188,1256,171,0
188,231,703,0
189,943,687,1
189,1252,703,0
189,1044,705,0
190,526,213,1
190,1246,548,1
190,666,319,0
190,1070,570,1
191,1142,400,0
192,211,680,0
193,922,715,0
193,1063,715,1
194,1205,306,0
194,1059,448,1
194,555,396,1
195,929,277,1
199,211,19,0
199,486,3,0
202,1257,541,1
202,1158,648,1
203,26,357,0
203,1241,378,1
203,225,27,0
203,480,438,0
204,1147,339,1
207,1155,676,1
208,1139,120,1
208,71,45,1
208,935,578,1
208,42,424,0
210,1111,611,1
211,871,100,0
211,471,1,0
211,263,1,1
212,471,4,1
212,705,157,0
212,365,251,1
213,914,107,1
215,1119,61,0
216,1213,596,1
216,770,316,1
217,1101,72,0
218,475,383,0
218,1144,477,1
218,452,401,0
218,252,15,0
218,1181,432,1
219,1276,126,1
221,48,488,1
222,176,191,0
222,1045,216,0
223,1276,509,0
223,474,453,0
224,1195,596,0
224,462,410,1
224,275,16,1
225,919,719,1
226,918,286,1
226,1115,710,1
226,355,236,1
226,1209,567,1
226,1217,685,0
227,669,21,1
227,1278,418,0
229,413,8,1
229,1103,271,1
229,690,239,1
230,1203,454,0
232,1123,476,1
