t,x,y,p
0,1161,132,0
1,1181,93,1
1,1032,549,0
1,1135,2,1
2,1030,699,0
2,1012,586,1
2,1084,203,1
3,1072,61,1
3,701,361,0
3,1198,101,0
3,717,206,0
5,711,393,1
5,298,424,0
6,1199,108,1
7,1014,592,1
7,1205,207,0
7,1071,10,0
7,1018,383,0
9,201,402,0
9,295,458,0
10,1241,54,0
10,1103,91,0
10,1267,624,0
11,1135,458,0
11,764,473,0
11,1109,100,1
11,1114,106,1
11,1010,55,1
12,1003,136,1
13,1119,597,0
17,870,184,1
17,1260,130,0
18,401,61,0
18,1117,141,0
20,1105,216,0
20,1123,331,0
20,852,136,1
21,1184,154,0
21,775,334,1
22,750,205,0
23,1094,96,0
24,1271,137,1
25,829,268,0
25,500,360,0
25,1146,28,0
26,300,393,1
26,1227,422,1
27,262,367,1
28,1260,29,1
28,930,62,1
29,1179,5,0
29,964,453,0
30,909,186,1
31,1198,601,0
31,1175,605,1
32,1159,226,0
32,982,392,1
32,833,382,0
32,569,382,1
33,978,3,1
33,1133,235,1
33,992,162,1
33,176,670,1
34,966,572,0
35,55,565,0
36,809,295,0
36,195,351,1
38,1144,301,0
39,798,355,0
39,1075,250,0
40,1071,715,1
40,1215,199,0
41,1183,249,0
42,1176,208,0
42,1198,553,1
43,815,342,1
43,1021,600,0
43,299,396,1
43,1253,143,0
44,1247,17,0
44,1123,715,0
47,813,437,1
48,925,59,1
48,1094,107,1
48,1192,710,0
48,805,198,0
49,1252,95,0
52,591,255,0
52,1014,581,1
52,786,430,0
52,794,436,0
57,595,428,0
57,928,540,1
58,33,512,0
58,1020,130,0
59,1098,195,0
60,809,318,0
62,285,351,1
63,1223,197,1
64,1126,199,0
64,425,430,0
65,211,348,0
66,252,358,0
67,918,618,0
69,998,585,0
70,1210,68,0
71,1103,146,0
72,1213,196,1
72,1111,177,0
73,1184,77,0
75,1247,176,0
76,84,378,0
77,466,689,1
77,1090,2,0
77,1113,204,1
79,1234,153,0
80,908,183,0
84,1058,159,1
85,973,79,0
85,1005,61,0
85,1142,525,1
86,197,357,0
86,46,403,1
87,1261,625,0
88,1218,82,1
89,300,330,1
89,881,160,0
89,1109,184,0
90,1270,382,0
90,1238,158,0
91,801,407,0
93,848,245,0
95,828,368,1
97,766,488,1
98,1086,30,0
99,692,363,1
100,354,333,0
100,554,430,0
101,1165,685,0
102,184,364,1
103,923,534,1
103,1133,223,0
104,848,256,0
104,1193,127,1
104,734,656,0
105,1013,580,1
106,1218,205,1
106,1189,16,0
107,29,378,1
108,1276,30,0
108,1091,98,0
108,84,374,1
109,851,220,0
109,1014,602,0
109,419,327,0
110,694,226,1
111,1162,98,0
112,1039,141,0
113,943,88,0
114,1094,108,1
114,1079,27,1
115,1118,143,0
115,862,220,0
116,593,421,0
119,990,14,0
119,1170,146,1
120,1067,8,1
120,814,448,0
121,110,385,0
121,1138,7,1
121,4,395,1
122,1142,128,1
126,1136,217,1
128,1260,18,1
129,538,375,0
131,969,86,1
131,1273,170,1
132,1155,713,0
133,508,641,1
134,614,597,1
137,1029,665,1
138,190,396,1
138,1029,674,1
139,1087,81,0
139,1010,196,1
139,1255,532,1
139,1267,184,0
140,1206,97,1
140,1018,600,1
141,911,105,1
142,799,425,0
143,1145,200,1
145,1189,166,0
145,1270,462,0
146,375,398,0
146,1108,83,1
146,1159,227,0
146,700,227,1
147,544,421,0
148,779,353,0
148,1098,217,1
149,1093,199,0
151,1244,15,1
151,1003,125,1
151,1229,58,0
152,1107,396,0
152,1097,77,0
152,561,389,0
153,1053,37,0
153,1129,352,0
153,1165,228,0
154,151,391,1
155,1166,154,1
156,958,80,0
156,1171,663,0
156,1249,133,0
156,1228,188,0
157,1063,71,0
157,919,205,0
158,277,333,1
158,1275,39,1
158,659,375,0
158,1139,200,0
159,1182,199,1
159,997,182,1
160,1252,218,0
162,1150,529,0
162,823,437,1
163,886,119,1
163,1205,192,0
163,1263,617,1
163,1274,249,1
164,1181,35,0
164,1266,655,0
164,1017,136,0
165,1197,220,1
167,1260,15,0
168,901,115,0
168,228,382,0
169,1221,86,0
170,1104,106,1
170,1145,106,1
170,165,385,1
171,555,414,0
171,568,421,0
172,1230,150,0
172,1077,717,0
173,1076,165,1
173,746,373,1
173,1162,711,1
174,1159,32,0
174,1010,590,1
174,1140,82,0
175,455,369,0
178,64,369,0
179,898,20,0
180,636,410,1
181,1270,176,0
182,1171,130,1
183,653,666,1
184,388,327,0
185,1094,109,1
185,1235,172,1
185,757,426,0
186,858,298,0
187,706,644,1
187,50,378,0
188,655,378,0
188,1226,424,1
189,1001,71,0
190,1057,715,1
190,1069,196,0
191,1235,227,0
191,1223,67,0
192,315,559,0
196,179,345,0
196,1128,185,0
197,389,288,0
197,1023,32,0
197,1264,642,0
197,1188,39,0
198,499,620,1
198,578,586,1
198,1009,63,0
198,1050,63,0
199,55,391,0
200,1122,216,0
200,1194,73,0
201,597,430,1
201,1217,706,1
202,1048,150,0
202,817,379,0
202,1111,205,1
203,308,352,0
204,1014,584,1
205,809,266,1
206,1147,62,1
207,1250,211,1
207,765,489,1
207,992,97,0
