t,x,y,p
0,1121,391,1
1,76,674,0
2,513,640,1
3,852,227,1
7,888,224,1
9,865,189,1
14,639,620,1
18,1269,122,1
21,629,695,1
21,24,7,0
21,402,688,1
22,737,377,1
22,172,473,0
24,1197,567,1
25,457,678,1
26,805,690,1
28,117,147,0
33,296,447,1
38,1170,599,0
40,1069,587,1
47,68,466,0
47,531,457,1
52,1019,588,1
53,1016,599,0
54,1198,567,1
58,1197,568,1
60,1122,73,1
62,720,252,1
64,386,330,1
66,818,383,1
66,902,123,1
66,1014,601,1
67,1033,527,1
72,511,644,1
72,940,43,1
72,1260,620,1
72,1052,180,1
77,1040,716,0
79,84,385,1
82,1199,566,1
83,1043,137,1
83,1199,567,1
84,0,693,1
84,509,643,1
87,1194,550,0
92,1175,206,1
93,512,642,1
97,715,325,1
97,238,376,1
101,1195,553,0
103,477,354,1
106,1192,217,1
110,1048,146,1
110,161,677,0
112,1197,569,1
112,364,676,1
112,850,676,1
113,837,222,1
113,1082,70,0
114,1121,31,1
118,434,478,1
120,25,545,0
125,1129,198,1
125,201,405,0
127,1022,171,1
127,380,374,0
131,984,609,1
132,1010,586,1
133,1195,554,0
133,3,544,0
136,1263,108,1
140,1272,661,1
140,825,133,0
143,188,704,1
143,782,407,1
145,1051,460,0
147,266,333,0
150,816,387,1
156,52,547,0
161,0,361,1
164,361,671,1
166,512,638,1
166,236,378,1
168,787,155,0
168,933,155,1
170,1198,568,1
170,1199,568,1
172,1030,274,1
175,932,70,1
180,520,478,0
181,1194,708,1
182,1197,555,0
186,1015,595,0
186,995,189,0
187,1196,568,1
187,367,421,1
190,1065,513,1
191,778,709,1
194,175,395,1
195,463,391,1
198,1019,101,1
200,1198,558,0
208,828,340,1
210,415,388,1
211,513,639,1
217,826,255,1
217,510,643,1
221,1017,598,1
222,1014,577,1
228,1194,546,0
228,1014,592,1
229,1014,591,1
233,179,706,0
238,1277,91,1
239,1020,598,0
239,713,367,1
242,196,410,0
242,1017,591,1
243,998,39,0
247,130,702,1
248,1017,597,1
249,79,674,0
251,813,178,1
254,828,714,1
254,1157,73,1
255,1198,569,1
255,38,546,0
256,1195,537,0
258,1246,174,1
258,1221,65,1
259,1117,49,0
260,1088,32,1
261,254,396,1
262,353,386,0
262,245,677,0
263,822,336,1
263,100,408,0
267,295,421,1
271,135,471,0
274,297,315,0
275,1193,525,0
277,1062,82,0
278,832,175,1
279,9,694,1
282,634,363,1
283,9,461,0
284,1014,584,1
284,1197,570,1
285,140,406,0
288,243,677,0
290,1015,583,1
291,552,371,0
291,146,552,0
292,772,124,0
292,1199,569,1
295,1046,144,1
297,968,44,1
297,164,704,1
302,709,645,0
304,999,22,1
304,1013,577,1
