t,x,y,p
0,677,254,0
0,982,416,1
10,974,396,0
19,397,339,0
27,319,252,0
51,970,397,0
52,1123,209,0
54,174,210,1
54,175,210,1
63,174,211,1
67,379,347,1
69,1227,540,1
74,960,422,0
92,435,53,1
93,568,392,0
102,564,430,0
103,401,346,0
107,978,426,0
110,377,361,0
118,969,399,0
122,991,428,0
125,816,310,0
139,123,515,0
146,394,331,0
161,892,685,1
162,679,235,1
166,382,351,0
170,976,380,0
170,977,405,0
173,677,251,0
174,567,419,0
176,1119,466,0
187,391,334,0
190,278,253,0
202,399,355,0
207,679,237,1
208,555,402,1
214,391,355,0
222,383,342,1
223,675,245,1
230,979,403,0
238,680,254,1
241,676,255,0
243,817,286,0
243,1211,591,0
252,960,421,0
259,977,426,0
262,402,379,1
270,392,369,0
276,967,428,0
284,491,304,0
290,381,345,1
307,378,350,1
310,554,373,1
311,491,305,0
328,180,214,1
331,181,215,1
344,389,356,0
355,262,245,0
374,400,346,0
378,389,336,0
383,390,355,0
383,377,357,1
386,445,421,0
386,497,200,0
387,978,388,0
403,177,212,1
404,1000,433,1
409,306,250,0
413,553,429,0
414,399,362,1
418,953,502,0
419,182,213,1
420,178,214,1
424,678,233,1
427,179,209,1
430,388,336,0
431,389,351,0
432,178,215,1
439,264,245,1
441,983,400,1
441,182,214,1
447,179,210,1
448,968,399,0
454,182,215,1
456,975,423,0
458,94,301,0
461,968,427,0
462,680,234,1
467,393,368,0
468,180,209,1
482,993,409,1
482,679,258,1
489,187,639,0
494,986,390,1
496,180,211,1
501,389,372,1
504,973,394,0
507,677,257,1
525,389,353,0
540,324,124,0
546,388,366,0
547,984,434,0
549,389,357,0
550,972,407,0
553,995,409,1
563,679,256,1
565,986,413,1
575,389,288,0
578,677,258,1
585,387,360,0
591,680,258,1
591,540,384,0
592,392,376,0
598,177,215,1
601,393,365,1
602,678,258,1
615,971,406,0
618,987,420,0
620,876,565,0
626,378,361,0
629,392,377,0
632,564,425,0
636,1237,411,1
644,679,257,1
655,973,407,0
657,987,429,0
660,262,241,1
665,895,678,1
669,685,239,1
675,379,352,1
676,983,430,1
676,955,413,0
683,969,429,1
690,677,259,1
693,979,385,0
696,969,418,0
696,675,235,1
716,377,362,0
720,403,350,0
732,547,415,0
734,551,430,0
741,1037,719,1
746,679,248,1
752,677,252,1
755,367,377,1
759,551,429,0
759,676,254,1
760,952,419,0
763,966,411,0
765,970,398,0
766,530,332,0
766,401,61,0
772,180,208,1
775,898,563,1
776,950,662,1
777,677,250,1
777,974,406,0
782,552,293,0
791,398,370,1
794,990,413,1
795,983,415,1
797,395,382,1
802,378,360,0
806,676,256,1
806,35,292,1
813,975,420,0
815,179,208,1
816,676,253,1
823,304,242,1
828,858,586,0
838,677,253,1
841,976,421,0
843,391,358,1
845,991,432,0
847,952,423,0
860,320,250,0
865,281,239,1
866,937,716,1
871,1055,313,0
871,986,396,1
876,1191,157,0
882,676,251,1
885,436,47,0
888,982,417,1
891,678,251,1
893,117,147,0
894,1240,577,0
896,984,435,0
898,540,390,1
899,678,254,1
901,989,410,1
904,680,250,1
905,24,7,0
905,995,406,1
906,492,293,0
914,377,352,1
937,402,349,0
937,566,422,0
939,892,567,0
957,979,380,0
970,966,400,0
971,999,712,1
977,970,408,0
977,289,237,0
981,389,359,0
983,680,232,1
984,394,335,0
987,554,374,1
992,725,560,1
997,682,254,1
999,385,370,0
1001,981,382,1
1002,816,310,0
1007,388,360,0
1008,974,416,0
1013,957,415,1
1016,790,632,0
1018,382,342,1
1023,176,208,1
1029,485,311,0
1029,398,384,0
1031,682,233,1
1057,977,412,1
1060,388,337,0
1060,985,432,1
1062,956,424,1
1067,546,437,0
1069,684,176,0
1072,979,386,0
1073,1063,547,0
1076,387,332,1
1094,264,246,1
1103,393,332,0
1121,388,364,0
1123,978,421,1
1128,379,348,1
1141,174,212,1
1142,383,357,0
1144,971,412,0
1149,990,521,1
1152,144,309,0
1152,956,425,1
1157,1122,222,1
1173,396,381,1
1174,386,369,0
1179,576,370,1
1186,177,213,1
1191,565,404,0
1203,400,360,0
1204,966,402,0
1212,992,427,0
