t,x,y,p
0,401,61,0
4,141,158,1
9,243,354,0
32,202,408,1
35,766,643,1
38,438,666,0
69,140,417,0
91,146,155,1
99,309,705,1
103,210,410,1
116,902,52,1
129,331,286,1
151,268,464,1
158,7,416,0
165,559,474,0
166,405,544,1
174,45,404,1
186,409,649,0
189,1248,436,1
190,659,703,0
192,540,578,1
204,63,540,0
211,1191,252,1
215,12,510,0
250,565,435,1
252,716,715,0
256,1233,564,1
260,198,613,0
264,816,310,0
277,382,535,0
279,212,397,0
288,806,271,0
308,876,565,0
311,14,540,0
322,119,389,1
336,1251,58,0
342,1182,151,1
348,558,494,1
357,1179,488,0
366,210,413,1
366,211,413,1
367,497,200,0
376,1187,71,1
394,1254,204,0
394,1254,122,0
403,1253,209,0
412,558,495,1
436,1201,304,0
448,916,20,1
474,210,414,1
474,417,352,1
481,290,546,0
484,1162,21,1
491,173,166,1
494,766,644,1
511,209,415,1
526,112,375,1
530,1243,412,0
536,210,415,1
557,211,414,1
566,272,533,1
570,0,674,1
574,706,634,1
576,211,415,1
576,409,650,0
596,211,416,1
599,389,288,0
615,552,511,1
621,1,480,0
623,53,313,1
631,117,147,0
639,212,415,1
645,558,496,1
647,669,488,0
661,1175,98,1
662,600,628,0
665,209,416,1
674,1178,484,0
687,210,416,1
691,557,495,1
699,710,642,1
707,1196,337,1
715,252,649,1
717,89,592,1
718,1243,701,1
725,235,546,1
726,525,446,1
728,502,381,1
751,1184,46,1
769,448,334,0
770,807,250,1
775,210,417,1
802,36,594,0
810,814,659,1
812,1177,34,0
815,295,624,1
826,195,181,1
835,337,494,1
847,858,586,0
848,1055,313,0
851,209,417,1
854,225,524,0
866,222,585,1
902,205,234,1
909,234,150,1
917,218,355,0
935,766,645,1
938,790,632,0
940,375,627,1
964,351,308,0
972,324,124,0
974,1196,388,1
984,550,693,0
985,122,410,0
996,315,204,1
1014,297,589,0
1028,210,418,1
1055,755,361,0
1056,209,418,1
1076,254,400,1
1080,532,705,1
1082,209,419,1
1087,244,197,1
1092,817,286,0
1103,766,635,0
1107,558,497,1
1115,706,137,0
1116,208,419,1
1117,372,599,1
1126,108,264,0
1137,208,418,1
1152,581,149,0
1153,0,237,1
1157,1197,362,1
1177,934,9,0
1178,211,403,0
1180,193,317,1
1181,1192,119,1
1186,211,419,1
1202,603,403,1
1221,81,676,0
1229,1241,408,0
1231,816,310,0
1232,210,420,1
1237,443,409,0
1237,445,421,0
1248,525,688,1
1249,240,195,1
1250,27,641,0
1268,1202,454,1
1270,322,440,1
1297,331,269,1
1299,557,497,1
1317,344,289,1
1326,321,437,1
1328,887,86,1
1328,1252,492,1
1329,923,2,1
1336,401,61,0
1345,209,421,1
1349,121,337,1
1357,1196,359,1
1360,1194,293,1
1364,210,421,1
1373,208,420,1
1381,544,448,1
1384,114,562,1
1389,424,458,1
1394,80,444,0
1396,1180,464,1
1396,168,157,0
1403,1276,257,1
1406,534,553,0
1412,127,176,1
1430,764,630,0
1432,1198,380,1
1435,29,394,1
1442,24,7,0
1448,579,577,1
1453,208,421,1
1458,209,422,1
1495,84,503,1
1503,766,646,1
1509,1237,576,1
1515,210,422,1
1518,953,502,0
1537,1246,352,0
1560,768,319,1
1564,1221,455,1
1566,210,423,1
1570,384,326,1
1575,208,422,1
1587,408,148,0
1595,203,211,1
1607,475,313,1
1610,762,331,1
1619,208,423,1
1629,564,653,0
1643,21,440,1
1645,209,423,1
1650,464,331,1
1652,1185,88,0
1658,103,322,1
1663,794,293,0
1694,211,399,0
1702,210,424,1
1706,208,424,1
1710,211,406,0
1714,187,639,0
1738,427,637,0
1738,209,424,1
1744,766,642,0
1750,240,488,1
1759,173,450,0
1765,297,253,1
1775,668,496,1
1780,210,408,0
1802,7,652,0
1815,209,425,1
1821,1188,79,1
1828,766,647,1
1837,217,606,1
1840,212,398,0
1862,1195,332,1
1886,210,426,1
1886,464,328,1
1898,197,144,1
1919,209,426,1
1920,1277,248,1
1931,92,349,1
1933,303,365,0
1942,2,665,0
1945,89,374,1
1957,117,147,0
1960,550,697,0
1960,208,425,1
1962,819,248,0
1972,113,327,1
1974,208,426,1
1976,1134,541,1
1987,210,425,1
1992,766,638,0
1996,128,399,0
2009,497,200,0
2038,45,699,1
2042,208,427,1
2052,1194,326,1
2070,389,288,0
2072,212,415,0
2073,350,626,1
2084,603,408,1
2088,118,398,1
2089,207,427,1
2092,209,427,1
2096,212,403,0
2117,193,289,0
2118,722,413,0
2131,389,332,1
2132,87,408,1
2156,291,493,0
2164,567,422,1
2167,557,500,1
2170,507,681,1
2175,816,310,0
2176,88,709,1
2176,1055,313,0
2180,211,414,0
2191,210,427,1
2194,1274,281,1
2207,210,410,0
2210,411,235,0
2211,306,515,0
2212,208,428,1
2213,425,482,1
2215,37,414,1
2223,209,428,1
2225,1076,564,1
2225,210,417,0
2236,180,132,1
2244,209,361,1
2252,208,429,1
2266,364,255,1
2290,1123,209,0
2293,419,338,1
2296,16,610,0
2299,209,429,1
2309,210,428,1
2315,211,409,0
2319,207,428,1
2321,207,429,1
2325,609,601,0
2333,858,172,0
2333,808,248,1
2335,659,703,0
2340,766,648,1
2343,534,453,1
2343,324,124,0
2357,1202,282,1
2375,1183,164,1
2380,210,429,1
2383,211,408,0
2383,208,430,1
2384,221,684,1
2393,257,651,1
2398,211,413,0
2398,858,586,0
2404,623,166,0
2410,766,644,0
2415,73,430,0
2419,82,637,0
2421,207,430,1
2455,209,430,1
2458,530,332,0
2469,211,415,0
2473,1253,173,0
2481,365,246,1
2490,266,382,0
2495,1196,508,1
2513,91,398,1
2517,1244,407,0
2519,208,431,1
2538,834,196,1
2545,346,358,1
2569,207,431,1
2569,790,632,0
2614,210,416,0
2617,209,416,0
2631,211,405,0
2637,269,533,0
2644,401,61,0
2647,328,520,1
2647,209,431,1
2648,1253,216,0
2654,1153,487,1
2656,817,286,0
2660,207,432,1
2669,114,706,0
2675,208,432,1
2678,135,433,0
2685,209,419,0
2686,110,452,0
2688,459,685,0
2689,831,225,0
2699,209,432,1
2705,208,433,1
2720,140,456,0
2721,210,409,0
2723,423,348,1
2734,804,274,0
2740,285,437,1
2740,658,44,0
2756,1250,43,0
2758,63,515,0
2764,758,167,0
2770,518,405,1
2771,1186,186,1
2771,212,404,0
2788,207,433,1
2800,44,384,0
2823,884,459,0
2837,503,560,1
2854,208,434,1
2854,1249,325,0
2878,196,137,0
2883,211,404,0
2889,1261,453,1
2891,208,419,0
2895,207,434,1
2901,209,433,1
2903,1199,236,0
2924,402,584,1
2925,819,247,0
2933,181,197,1
2958,123,276,0
2968,1250,295,0
2988,172,178,1
2990,207,435,1
2993,296,437,1
2994,210,415,0
3001,706,137,0
3019,148,401,1
3037,1192,263,1
3042,1238,335,0
3070,733,665,0
3075,344,586,0
3088,244,502,1
3097,789,283,1
3099,210,426,0
3107,844,176,1
3123,816,310,0
3123,118,385,1
3123,208,436,1
3125,208,435,1
3132,48,547,1
3132,206,436,1
3143,207,436,1
3153,118,439,0
3153,295,396,1
3158,81,677,0
3170,218,356,0
3176,448,334,0
3177,603,573,1
3185,213,608,0
3194,210,420,0
3203,117,147,0
3212,1267,346,1
3213,669,484,0
3217,206,435,1
3220,551,658,0
3242,208,437,1
3257,208,423,0
3259,1179,481,0
3266,286,548,1
3291,1266,569,1
3292,254,370,0
3294,1241,421,0
3303,161,421,0
3313,207,437,1
3319,206,437,1
3345,207,438,1
3355,770,691,0
3361,1168,633,1
3362,209,424,0
3364,210,422,0
3369,131,406,1
3373,403,647,0
3387,766,643,0
3396,209,423,0
3404,208,438,1
3404,1221,453,1
3410,291,446,0
3411,206,438,1
3424,588,709,1
3444,153,202,1
3446,209,418,0
3446,206,439,1
3448,204,310,1
3462,208,439,1
3465,214,193,1
3468,581,149,0
3475,1055,313,0
3476,1243,410,0
3478,1198,192,1
3487,1250,42,0
3487,209,437,1
3488,207,439,1
3498,668,500,1
3500,318,425,1
3521,15,664,0
3522,766,646,0
3525,549,718,1
3526,384,602,1
3528,55,693,0
3532,412,585,0
3534,207,440,1
3539,1193,122,1
3544,209,417,0
3545,125,516,1
3560,633,695,0
3561,1247,343,0
3566,302,604,1
3572,61,597,0
3574,42,467,0
3576,629,622,1
3581,389,288,0
3603,98,478,1
3621,207,678,1
3626,905,74,0
3644,497,200,0
3645,194,440,1
3651,1243,487,0
3660,171,499,0
3662,208,440,1
3663,389,580,0
3664,1185,453,1
3668,1202,283,1
3670,445,421,0
3681,1268,341,1
3684,211,416,0
3685,206,440,1
3704,953,502,0
3705,210,418,0
3707,207,441,1
3707,206,441,1
3710,1071,528,1
3723,383,707,1
3724,207,407,1
3733,324,124,0
3747,764,630,0
3768,1197,374,1
3769,207,442,1
3774,1271,58,0
3777,178,341,1
3781,100,396,0
3782,378,605,0
3783,94,345,1
3789,324,373,0
3799,549,719,1
3829,1137,546,0
3838,1196,356,1
3849,42,407,1
3859,668,501,1
3877,363,260,1
3887,206,442,1
3909,261,226,0
3916,206,443,1
3923,208,427,0
3926,858,586,0
3930,1174,92,1
3933,229,148,0
3938,13,630,1
3939,1245,364,0
3952,70,393,1
3968,143,683,0
3969,27,673,1
3969,410,482,1
3982,1184,51,1
3987,401,61,0
3988,815,255,0
3992,870,148,0
3992,207,443,1
3999,328,443,0
4013,888,81,1
4013,1201,289,0
4021,1200,260,0
4027,16,422,1
4042,205,443,1
4054,23,663,1
4056,39,434,1
4057,1164,590,1
4059,768,320,1
4059,1181,463,1
4062,443,409,0
4074,321,585,0
4080,205,444,1
4080,210,427,0
4088,816,310,0
4089,210,413,0
4115,206,444,1
4115,101,350,0
4121,72,642,1
4125,209,431,0
4126,209,426,0
4143,530,332,0
4145,817,286,0
4150,209,429,0
4151,207,444,1
