t,x,y,p
0,1021,225,1
0,633,252,0
4,1198,414,1
5,1214,552,0
6,1157,287,0
7,503,276,1
9,1256,506,0
13,457,211,0
14,253,3,1
17,888,507,1
17,276,197,0
18,900,628,0
19,1260,396,1
19,777,378,1
19,16,294,1
24,1132,485,1
25,679,235,0
26,1023,453,0
27,1058,658,0
31,1267,355,0
33,1015,692,1
36,15,134,1
37,1231,699,1
37,1042,674,0
37,70,478,0
39,915,414,0
39,1116,67,0
42,682,233,0
42,1241,671,0
42,23,391,0
42,434,395,0
44,323,616,1
46,151,24,1
49,1272,491,0
49,895,688,0
52,1199,447,0
54,167,684,1
56,298,0,1
57,687,330,1
57,1002,683,1
58,1266,590,0
61,1237,490,0
62,453,404,0
63,979,460,1
64,711,553,0
64,259,232,1
64,678,247,0
66,255,3,0
66,1008,593,1
66,271,225,0
66,773,33,1
67,1236,206,1
69,1211,518,0
69,447,393,0
72,1055,681,0
72,202,228,0
73,1150,602,0
74,517,114,1
74,975,172,0
75,962,529,1
75,1193,462,0
78,1184,687,0
78,1038,532,1
80,1154,322,1
81,1214,514,1
82,948,691,1
82,968,670,0
82,684,236,0
83,687,248,0
83,1003,533,0
85,1254,695,1
88,1204,451,0
89,1115,528,1
89,679,237,0
90,1154,482,1
90,989,527,1
91,463,317,1
91,1223,427,1
92,437,393,1
93,157,625,1
93,229,176,1
93,456,418,0
94,726,563,1
94,346,80,0
95,881,675,1
96,875,394,0
97,24,267,0
97,331,194,1
97,684,344,0
98,216,234,0
100,273,357,1
104,1113,555,0
105,881,485,0
105,1112,711,1
106,1157,499,0
107,1181,538,1
108,914,577,1
108,1029,544,1
108,809,123,1
110,459,418,0
112,176,211,0
112,1180,324,1
112,512,225,0
113,76,293,1
114,152,252,1
114,1025,591,1
115,686,238,0
115,522,27,0
115,1027,547,1
116,947,12,1
117,1048,519,1
117,681,256,0
118,462,411,0
118,450,401,1
119,567,312,0
119,1143,472,1
119,946,622,0
121,1212,435,1
121,480,223,0
121,1277,698,1
121,1217,552,1
121,1161,513,0
123,383,9,1
124,985,668,0
124,1130,639,0
125,1256,507,0
126,158,205,1
130,962,542,0
131,532,7,0
132,855,640,1
133,928,371,0
134,449,356,1
140,1076,542,0
140,848,201,1
140,532,418,1
140,396,288,1
145,1256,272,1
147,1065,449,1
147,1009,650,0
148,525,26,0
148,1239,699,0
149,51,335,1
149,1266,158,1
151,372,21,0
159,984,692,1
160,1199,314,1
160,275,245,0
160,1014,591,0
161,461,416,0
162,467,374,0
165,1237,181,1
165,849,654,1
166,446,395,0
166,1251,581,1
167,1254,515,1
169,439,403,0
169,1277,592,0
170,1255,451,1
171,686,255,0
173,265,22,0
175,165,117,0
176,849,652,1
176,1048,719,0
177,533,496,0
178,1026,488,0
178,102,538,1
178,1115,714,0
178,683,238,0
179,372,20,0
181,979,499,0
181,686,240,0
181,686,239,0
182,1204,436,0
182,1155,432,1
183,942,508,0
183,965,454,0
184,95,253,0
184,830,129,0
184,288,227,1
185,664,4,1
185,997,158,0
186,1013,601,0
188,1171,453,1
188,1071,421,1
188,1061,489,0
188,1132,474,0
189,391,673,1
189,889,105,1
190,1167,429,0
190,1232,431,0
190,502,37,0
192,911,695,0
194,683,254,0
195,1105,444,1
199,236,85,1
204,719,551,0
205,453,407,0
205,679,238,0
205,868,708,0
206,25,303,1
207,1077,409,1
207,967,3,1
208,678,237,0
209,1075,549,1
210,65,479,1
213,680,251,0
215,1203,585,1
216,345,204,1
218,1005,705,1
219,123,515,0
220,273,193,0
223,453,19,1
223,919,631,0
224,676,241,0
225,689,243,0
225,895,351,1
228,207,212,1
229,1000,569,0
231,431,379,1
232,460,415,0
233,365,187,0
234,677,246,0
234,461,400,1
237,1267,305,0
237,24,266,0
237,993,556,1
237,30,179,0
237,1104,691,0
237,919,700,1
238,1063,570,0
238,1259,682,0
240,291,244,0
240,539,335,1
240,1277,72,1
240,1214,434,1
245,903,697,1
249,682,235,0
251,1032,595,0
254,1204,275,0
258,678,239,0
258,455,377,0
261,1254,148,0
261,937,599,0
262,267,8,0
264,684,715,0
267,1085,649,0
268,1131,604,1
268,228,193,1
268,321,32,0
270,203,53,0
270,1008,504,1
271,684,238,0
272,992,149,1
273,458,367,0
273,1219,436,0
273,553,425,0
273,1183,454,0
275,977,614,1
275,445,421,0
275,677,241,0
276,1072,713,1
279,930,657,0
279,462,418,0
280,685,246,0
280,683,258,0
280,38,628,0
280,442,377,0
282,1163,472,0
283,682,254,0
283,467,375,0
284,1148,370,1
284,980,543,0
285,1141,606,1
286,1020,655,0
286,147,605,1
289,40,444,1
289,1055,695,1
291,1154,323,1
291,1174,565,1
292,706,137,0
292,670,277,0
292,438,159,1
294,1067,454,1
298,903,385,0
298,283,254,0
300,283,253,0
303,903,698,1
305,1129,557,1
305,987,630,0
306,285,51,0
308,1143,457,0
309,185,209,0
310,497,200,0
311,294,1,1
311,980,719,1
313,463,300,1
313,613,288,0
315,672,296,1
317,960,639,0
317,444,398,0
318,469,267,1
318,1208,16,1
318,796,51,1
319,770,691,0
320,995,529,1
320,452,404,0
321,462,378,0
321,1220,411,1
322,1259,328,0
323,1189,472,1
324,1209,423,1
324,1196,530,1
326,460,414,0
327,987,52,1
328,986,697,0
332,1125,681,0
333,181,208,0
334,894,260,1
335,1040,632,1
335,1126,69,1
335,1206,417,1
335,1151,597,1
335,897,498,1
337,1021,618,0
338,291,192,1
340,454,400,0
342,268,68,1
342,224,182,1
343,445,396,0
343,986,506,1
345,401,61,0
346,1006,341,0
346,225,29,0
352,1178,430,0
353,514,0,1
354,1264,283,1
355,1059,446,1
356,1215,592,0
357,1128,558,1
359,902,557,0
359,459,400,1
360,461,408,0
360,765,650,1
360,202,684,1
360,1055,313,0
361,1105,488,1
362,1274,616,1
362,685,238,0
363,542,25,0
364,676,240,0
365,1057,272,0
368,1156,521,1
368,806,101,1
369,676,252,0
369,1019,71,0
369,1265,452,0
374,1136,515,0
375,989,447,1
375,21,83,1
375,1126,447,1
376,458,420,0
376,459,416,0
378,1119,632,0
378,137,579,0
378,1200,430,0
379,686,1,0
379,677,239,0
381,992,150,1
382,962,653,0
382,1275,604,1
382,983,322,0
382,684,237,0
383,678,238,0
386,389,288,0
386,758,163,1
387,1040,507,0
389,1106,235,1
392,886,661,1
393,676,239,0
393,530,332,0
398,569,291,0
398,686,237,0
398,678,248,0
399,433,387,1
400,1271,302,1
400,380,54,1
403,1259,683,0
404,536,262,1
404,1272,22,0
404,1254,516,1
405,1082,638,1
405,291,243,0
405,1085,648,0
406,924,704,0
407,445,259,0
408,884,456,0
408,841,293,0
410,1134,180,1
410,1070,428,1
413,181,207,0
414,530,6,1
415,890,391,1
415,458,374,0
416,1037,678,1
416,778,73,1
417,445,400,0
420,916,276,1
420,1056,646,0
420,1014,419,1
421,988,497,1
424,1234,570,0
428,625,318,1
431,989,494,1
435,920,706,1
436,1105,613,0
436,854,652,0
