t,x,y,p
0,371,645,1
0,1137,535,0
0,810,366,1
0,1219,671,0
1,837,331,0
2,1279,495,0
2,552,244,1
3,812,392,0
3,957,92,0
4,1244,397,0
4,1165,120,0
4,670,276,1
5,1228,311,0
5,945,613,0
6,1184,346,1
6,937,622,1
6,953,634,0
6,890,309,1
7,312,87,1
7,849,128,1
7,218,685,1
7,53,423,0
8,833,386,1
8,1169,269,1
8,417,329,1
9,694,323,1
9,766,145,0
10,191,204,0
10,1098,609,1
10,945,571,0
11,515,424,0
11,768,301,0
11,778,85,0
11,1140,510,0
12,1116,528,1
12,1051,604,0
12,384,231,1
12,750,570,1
12,162,259,1
12,1067,544,1
13,1262,451,0
14,1049,255,0
14,144,193,0
14,1243,658,1
14,539,429,1
15,1002,495,0
15,1009,117,0
15,968,533,1
15,299,212,1
16,1263,445,0
16,920,60,1
16,696,242,1
17,1213,625,0
17,155,44,0
18,382,263,1
18,203,35,0
19,132,24,0
19,866,91,1
19,888,133,1
19,961,509,1
20,130,606,0
20,1221,394,0
21,165,16,1
21,1128,659,1
21,833,357,0
21,538,404,1
21,1239,562,1
22,551,19,0
22,546,13,1
22,476,49,0
22,1123,294,1
22,163,49,1
22,760,61,0
23,1202,291,1
23,446,4,0
23,534,289,0
23,1131,485,0
23,469,22,0
24,1183,592,1
24,1114,569,0
24,1011,688,0
25,184,190,0
25,492,216,1
25,1160,392,1
26,1216,352,1
26,540,388,1
26,789,313,1
27,1071,537,0
27,1083,545,1
27,1037,629,1
27,982,242,0
28,182,203,0
28,1167,288,1
28,620,293,0
28,1219,593,1
29,628,414,1
29,1086,637,1
29,517,51,0
29,540,414,0
29,1264,211,0
29,465,361,1
30,1077,642,0
30,1118,393,1
30,1210,287,0
31,1022,570,1
31,698,14,1
31,925,328,0
32,191,208,0
32,292,227,0
32,1210,291,0
33,186,204,0
33,1271,410,0
34,1030,523,0
34,412,241,1
34,547,431,0
34,66,197,0
35,511,403,1
35,941,582,0
36,29,264,0
36,652,342,1
36,1109,251,0
37,859,630,1
37,1229,612,0
37,767,382,0
