t,x,y,p
0,116,408,1
2,1238,634,1
3,1240,582,1
5,1082,230,1
6,1214,595,0
7,1246,535,0
7,1214,455,1
8,497,430,0
9,1194,561,0
9,329,444,1
9,844,387,0
17,233,246,1
18,874,671,0
19,548,419,1
20,1156,401,1
23,868,402,1
23,478,477,0
25,1142,686,1
28,1189,640,1
28,186,212,1
29,160,252,1
29,483,403,0
30,1203,663,1
30,495,430,0
31,1026,590,0
31,1166,610,1
32,1238,643,1
32,1278,642,0
33,897,501,0
34,807,417,1
34,472,410,1
37,1224,512,1
38,547,235,1
40,903,682,0
41,1254,102,1
43,33,467,1
44,1120,462,1
44,859,382,0
47,1274,711,1
47,478,371,1
48,954,358,1
49,1108,685,0
50,95,626,1
52,1133,519,1
53,1054,473,0
54,91,524,1
54,490,426,1
55,204,136,0
56,127,228,1
56,108,562,1
57,1266,621,0
57,1179,455,0
61,863,382,0
63,893,110,1
65,1230,672,0
66,834,34,1
67,1036,674,0
68,1127,527,1
69,1159,591,0
69,1107,358,1
69,1027,578,0
70,490,376,0
70,1066,549,0
72,1125,713,0
72,856,389,1
74,473,404,1
75,684,238,0
75,925,700,1
76,975,642,1
76,260,142,0
77,98,387,1
80,1143,4,1
81,520,407,1
82,24,179,0
85,166,48,1
89,681,253,1
89,180,212,1
91,990,557,1
96,681,252,1
96,679,256,1
97,1051,216,1
98,1187,360,1
100,1263,357,0
101,1206,324,0
103,932,699,1
104,1203,689,1
104,681,255,1
105,1093,85,0
106,69,185,1
108,1247,665,0
109,389,288,0
109,182,213,1
111,204,137,0
115,281,239,0
116,204,150,1
118,401,61,0
119,250,252,1
120,895,698,0
120,1189,713,1
121,468,401,1
121,1038,283,0
122,1233,420,0
125,1175,12,0
127,953,359,1
130,1224,625,0
130,1091,165,1
131,681,256,1
132,486,387,0
133,1116,442,1
134,24,200,0
136,680,255,1
137,1147,375,0
137,203,151,1
137,514,372,0
138,1191,432,1
139,533,384,1
139,1153,701,0
141,1164,719,1
141,1011,499,1
141,681,257,1
143,464,402,0
145,1194,525,1
145,1176,448,0
146,1269,122,0
147,869,401,1
147,1145,62,1
148,1236,646,0
148,957,691,1
150,492,398,1
150,870,398,1
151,1273,661,0
154,24,7,0
154,281,242,0
155,13,221,1
156,1215,347,1
156,1260,371,1
157,957,697,1
158,1106,567,0
159,120,259,1
160,1190,677,1
162,1101,233,1
165,1088,75,1
167,680,257,1
169,951,613,1
169,776,566,0
172,472,381,1
173,1127,442,1
174,269,237,1
174,185,206,1
175,1203,211,1
176,230,250,0
177,1142,134,1
177,970,511,1
178,1124,493,1
178,1014,633,0
179,265,252,0
179,1057,616,1
179,474,416,0
179,682,255,1
184,1116,668,0
192,186,211,1
197,1271,494,0
198,280,243,0
198,209,203,0
200,527,412,0
200,281,240,0
201,928,658,1
201,525,400,0
202,468,409,0
205,1072,669,0
209,206,130,0
210,547,236,1
210,1265,275,0
212,1279,329,1
214,1266,620,0
216,482,406,0
217,1150,560,1
218,115,265,1
218,918,265,1
218,165,59,0
219,1267,586,1
221,864,694,1
222,1090,692,0
225,22,433,1
228,963,697,1
228,1020,572,0
228,1191,594,0
229,957,291,0
231,895,712,0
232,490,419,1
233,1068,517,0
235,992,464,1
237,935,701,0
238,182,699,0
238,1233,386,0
239,1228,640,0
241,1259,369,0
241,488,418,0
242,280,240,0
242,190,150,0
242,843,398,1
244,552,390,1
244,29,509,1
246,7,428,0
246,1279,379,1
247,938,688,0
247,81,246,1
249,1151,265,1
251,52,261,1
251,1267,610,1
252,492,386,0
252,1278,590,1
253,1025,630,0
254,1202,678,1
255,282,240,0
256,8,503,0
256,12,470,1
257,492,393,0
259,474,392,0
262,473,376,1
263,829,376,1
265,1052,456,0
267,203,152,1
268,280,239,0
268,860,392,0
273,1110,641,0
274,1176,523,0
275,489,402,1
275,483,400,0
276,1028,611,0
277,548,223,0
278,21,469,1
278,940,644,0
278,1189,612,0
282,1123,209,0
283,1119,568,1
283,996,674,0
283,183,207,1
283,481,405,0
284,1158,339,0
285,205,135,0
285,1278,269,0
286,859,372,0
288,790,632,0
288,1149,475,1
291,483,418,1
292,1131,79,1
293,495,391,0
297,1198,462,0
298,852,647,1
298,853,375,0
298,479,420,1
300,512,373,0
301,473,407,1
302,1074,656,1
302,881,316,0
303,494,425,1
305,954,348,0
307,478,471,0
312,204,131,0
313,258,250,1
317,1278,555,0
317,160,255,0
319,1137,181,0
321,478,414,0
322,979,699,0
327,1253,173,0
327,1217,10,1
329,1173,678,0
331,1210,531,0
332,1126,448,0
334,527,425,0
334,522,357,0
335,281,241,0
336,1138,560,0
336,202,152,1
336,209,262,1
337,892,567,0
337,1139,567,1
341,182,214,1
342,1130,641,0
342,183,210,1
343,951,408,0
343,55,353,0
343,1150,562,1
344,1169,708,1
344,1226,346,0
346,1244,312,0
348,1007,606,0
350,1263,362,1
353,475,375,1
356,13,261,0
357,1088,258,0
358,1148,714,1
361,953,360,1
362,552,293,0
364,1222,107,0
364,1021,668,0
367,53,506,1
367,1178,576,0
374,1029,236,0
375,204,139,0
380,1192,677,1
381,868,405,1
381,1131,524,0
382,487,394,0
386,954,350,0
387,863,402,0
390,482,403,0
390,684,253,1
390,204,141,0
390,1251,399,1
391,1188,584,0
391,496,417,1
392,969,669,1
393,842,426,1
394,896,30,1
394,1143,695,1
394,1188,632,1
394,854,668,0
398,922,442,0
398,1071,461,0
399,1148,670,1
399,1146,593,1
400,516,385,0
405,203,153,1
409,463,408,0
409,525,397,0
414,262,266,1
416,953,502,0
416,1244,658,0
416,992,640,1
417,1252,332,0
418,1172,521,0
418,510,365,0
418,484,397,0
419,9,625,0
420,478,410,0
420,1194,381,0
421,1087,230,1
424,1047,94,1
427,517,389,0
427,533,385,1
427,856,385,0
429,468,421,0
430,985,692,0
433,997,619,0
433,282,241,0
434,1275,449,1
437,461,404,1
438,1147,434,1
439,1034,698,1
441,184,207,1
442,1240,472,0
442,1159,638,0
442,1205,664,0
443,478,407,0
444,1069,220,0
447,470,418,0
448,476,378,0
449,184,206,1
449,996,676,0
452,1213,1,1
454,202,153,1
454,1152,478,1
457,180,209,1
459,1152,547,1
460,1137,191,1
460,1106,498,0
461,1254,637,0
463,1258,449,0
464,281,232,0
468,483,404,0
468,1202,504,1
472,932,700,1
472,1195,454,0
473,494,397,1
475,1254,365,0
477,1221,1,1
479,1121,694,0
480,1264,94,1
480,1259,676,1
481,123,216,1
482,165,646,1
483,969,692,0
484,1161,675,1
485,1165,388,1
485,1185,234,1
487,468,422,0
488,204,134,0
488,159,270,1
488,1230,623,1
488,484,398,0
492,1180,716,0
492,1055,460,1
496,1104,551,0
498,1180,267,0
500,497,421,0
501,477,413,0
502,203,154,1
503,1177,647,0
503,920,710,0
504,1138,559,0
504,1119,492,0
504,951,411,1
505,972,108,1
505,547,237,1
506,1058,587,0
509,488,414,0
510,1168,580,0
512,898,627,0
513,1279,284,0
516,1217,453,0
521,230,265,1
524,1173,475,0
525,478,454,0
526,888,674,1
526,1036,540,0
526,1013,537,0
527,623,166,0
530,794,572,0
532,464,403,0
533,548,226,0
534,1275,706,0
534,480,416,0
535,851,482,0
536,268,401,0
538,681,258,1
538,917,708,0
538,485,392,0
539,721,539,0
540,1090,544,0
541,953,361,1
541,984,549,0
542,972,111,0
543,1093,450,1
545,1277,561,0
546,1101,50,1
550,999,505,0
550,1053,456,0
556,1168,665,0
558,1223,460,1
558,1098,588,1
559,1199,555,1
561,857,649,0
562,1064,710,0
563,1076,660,1
565,260,3,1
567,1187,593,1
570,1247,522,0
570,202,154,1
571,1258,690,0
572,1238,0,0
573,926,506,1
573,1196,559,1
574,280,242,0
575,278,240,0
575,1101,617,0
575,281,254,1
576,996,581,0
577,1118,434,0
578,493,386,0
579,1198,283,0
579,6,209,0
579,246,235,0
580,923,120,1
580,872,712,1
583,1072,401,1
584,965,675,0
585,1255,686,0
586,1241,445,0
588,857,374,0
588,1227,687,0
589,966,641,0
590,934,701,0
590,485,414,1
590,1202,502,0
592,1150,588,0
595,1093,376,0
597,701,302,0
597,1231,106,1
597,1268,275,0
598,203,142,0
599,913,703,0
605,1112,554,1
605,912,651,1
611,895,686,1
611,1203,503,0
611,526,406,0
613,20,296,1
616,1134,135,1
618,72,236,0
618,682,257,1
618,205,129,0
620,486,379,0
621,1004,518,0
626,1246,401,1
627,842,390,0
627,180,207,1
629,1115,689,0
631,81,142,0
631,1105,551,0
631,1197,140,1
632,868,391,1
634,1139,680,0
636,967,575,1
637,1066,546,0
637,489,367,0
638,768,458,0
640,546,358,0
640,1264,624,1
640,1211,463,0
641,1186,625,0
642,496,430,0
643,1251,635,0
643,1065,718,0
645,1169,268,1
645,852,376,0
646,172,637,1
646,1215,116,0
646,487,420,0
649,1022,448,1
652,1119,716,0
653,457,423,1
653,877,512,0
653,49,434,0
654,63,216,1
656,38,224,0
657,1241,354,0
658,472,407,1
658,963,713,0
661,543,400,1
661,841,392,0
664,1196,538,0
666,954,583,0
666,482,405,0
668,1097,574,0
668,180,206,1
669,933,707,1
671,1187,655,0
671,22,467,1
672,1220,539,1
673,1086,458,1
676,1140,687,1
676,1241,573,0
679,821,347,1
679,966,456,1
684,1204,429,1
684,1160,606,0
687,924,718,0
687,854,483,0
689,1214,535,0
691,475,405,1
691,63,345,1
692,1187,459,1
693,482,404,0
694,997,553,1
695,944,592,0
698,1275,541,1
700,1060,573,0
700,1224,539,0
701,547,238,1
702,1054,645,0
704,1191,157,0
704,684,234,0
704,916,584,0
705,1085,493,0
705,501,385,0
707,497,200,0
710,1233,463,1
712,1172,660,1
714,683,234,0
716,874,381,1
716,18,255,1
717,1241,633,1
719,278,239,0
722,1069,644,1
723,472,418,0
723,934,631,1
725,911,442,1
728,858,586,0
730,1099,500,0
735,203,155,1
736,684,252,1
736,680,252,1
737,123,515,0
738,1003,287,1
738,476,384,1
739,204,146,0
741,1187,569,0
744,460,393,1
744,994,553,0
746,1137,279,0
746,324,124,0
747,1250,345,1
747,973,511,0
747,1247,630,0
747,492,430,1
747,1053,571,0
749,1253,357,1
749,1166,472,0
750,202,155,1
750,1238,510,0
755,1091,370,1
756,479,473,0
756,1261,634,0
757,1212,696,1
757,21,219,0
757,481,387,1
757,1246,482,0
758,1195,464,1
760,1151,714,0
761,758,167,0
762,683,250,0
763,1104,542,0
766,498,424,0
767,1042,687,0
767,481,406,0
768,530,419,0
770,909,642,0
772,687,252,1
773,461,390,1
773,876,673,0
777,687,253,1
781,495,402,1
781,904,714,0
782,68,40,1
782,686,250,0
788,874,399,0
788,803,469,0
789,181,212,1
792,687,257,1
794,953,362,1
795,906,682,0
796,488,371,0
